Timestamp,CpuPercent,WorkingSetMb,GcAllocatedMb,ThreadCount
2026-04-05T19:22:44.7235187Z,5.2,70.4,4.0,36
2026-04-05T19:22:45.7381439Z,4.2,74.0,5.5,36
2026-04-05T19:22:46.7531301Z,7.9,77.4,7.4,36
2026-04-05T19:22:47.7604659Z,5.6,79.2,8.8,36
2026-04-05T19:22:48.7656072Z,3.9,81.1,10.8,36
2026-04-05T19:22:49.7839983Z,2.5,82.7,12.1,36
2026-04-05T19:22:50.7956776Z,1.0,84.0,13.5,36
2026-04-05T19:22:51.8158562Z,1.5,80.8,15.3,36
2026-04-05T19:22:52.8309273Z,1.2,82.2,16.6,36
2026-04-05T19:22:53.8447382Z,3.7,84.2,18.7,36
2026-04-05T19:22:54.8652338Z,2.3,85.8,20.1,36
2026-04-05T19:22:55.8797892Z,2.5,87.5,21.7,36
2026-04-05T19:22:56.9020322Z,2.3,89.7,23.8,36
2026-04-05T19:22:57.9117722Z,3.3,90.9,25.2,36
2026-04-05T19:22:58.9370243Z,2.3,92.8,27.1,36
2026-04-05T19:22:59.9615932Z,2.7,94.2,28.5,36
2026-04-05T19:23:00.9752799Z,2.5,96.1,30.4,36
2026-04-05T19:23:01.9928662Z,3.6,97.6,31.8,36
2026-04-05T19:23:03.0071684Z,1.3,99.0,33.2,36
2026-04-05T19:23:04.0240429Z,1.9,100.7,35.0,35
2026-04-05T19:23:05.0383997Z,1.9,102.1,36.4,35
2026-04-05T19:23:06.0487744Z,2.3,106.6,38.4,35
2026-04-05T19:23:07.0620411Z,1.2,106.8,39.9,35
2026-04-05T19:23:08.0752305Z,1.7,106.8,41.4,35
2026-04-05T19:23:09.0866671Z,1.7,106.9,43.3,35
2026-04-05T19:23:10.1000914Z,1.3,106.9,44.8,35
2026-04-05T19:23:11.1199973Z,2.1,106.9,46.8,35
2026-04-05T19:23:12.1297291Z,1.7,106.9,48.3,35
2026-04-05T19:23:13.1515688Z,1.9,106.9,49.6,35
2026-04-05T19:23:14.1742314Z,1.5,107.1,51.6,35
2026-04-05T19:23:15.1885664Z,2.7,107.1,53.0,35
2026-04-05T19:23:16.2084318Z,1.5,107.1,54.9,35
2026-04-05T19:23:17.2200127Z,1.9,106.7,56.4,35
2026-04-05T19:23:18.2293359Z,1.4,106.7,57.9,35
2026-04-05T19:23:19.2430360Z,2.3,106.9,59.9,35
2026-04-05T19:23:20.2543646Z,1.5,106.9,61.4,35
2026-04-05T19:23:21.2721865Z,2.7,106.9,63.3,35
2026-04-05T19:23:22.2886402Z,1.2,106.9,64.4,35
2026-04-05T19:23:23.3057155Z,1.7,106.9,65.8,35
2026-04-05T19:23:24.3169143Z,2.3,106.3,67.5,35
2026-04-05T19:23:25.3270593Z,1.9,106.2,68.9,35
2026-04-05T19:23:26.3382351Z,3.1,106.2,70.7,35
2026-04-05T19:23:27.3476629Z,1.4,106.1,72.2,34
2026-04-05T19:23:28.3596335Z,1.0,106.5,73.6,35
2026-04-05T19:23:29.3740064Z,1.0,107.2,75.5,35
2026-04-05T19:23:30.3941726Z,1.7,109.7,77.0,35
2026-04-05T19:23:31.4063804Z,1.5,110.6,79.1,35
2026-04-05T19:23:32.4272577Z,1.0,110.6,80.6,35
2026-04-05T19:23:33.4523341Z,2.3,110.9,82.2,35
2026-04-05T19:23:34.4664019Z,2.5,111.4,83.7,35
2026-04-05T19:23:35.4754959Z,0.4,111.7,84.9,34
2026-04-05T19:23:36.4923669Z,2.1,112.1,86.9,34
2026-04-05T19:23:37.5094939Z,1.0,112.3,88.2,34
2026-04-05T19:23:38.5217412Z,0.8,112.4,89.6,35
2026-04-05T19:23:39.5386067Z,1.7,111.4,91.4,35
2026-04-05T19:23:40.5574317Z,1.9,111.5,92.7,35
2026-04-05T19:23:41.5738735Z,1.0,111.6,94.5,35
2026-04-05T19:23:42.5860163Z,1.9,111.6,95.9,34
2026-04-05T19:23:43.6126802Z,1.5,111.8,96.5,32
