Timestamp,DispatchMs
2026-04-05T18:17:32.3560718Z,0.559
2026-04-05T18:17:32.3702129Z,0.028
2026-04-05T18:17:32.3705104Z,0.003
2026-04-05T18:17:32.3714266Z,0.004
2026-04-05T18:17:32.3716381Z,0.002
2026-04-05T18:17:32.3885146Z,0.007
2026-04-05T18:17:32.3912980Z,0.001
2026-04-05T18:17:32.4236602Z,0.008
2026-04-05T18:17:32.4246383Z,0.006
2026-04-05T18:17:32.4701379Z,0.002
2026-04-05T18:17:32.4711581Z,0.008
2026-04-05T18:17:32.5167938Z,0.001
2026-04-05T18:17:32.5639487Z,0.009
2026-04-05T18:17:32.5641691Z,0.004
2026-04-05T18:17:32.6107260Z,0.008
2026-04-05T18:17:32.6584315Z,0.018
2026-04-05T18:17:32.7096434Z,0.029
2026-04-05T18:17:32.7106063Z,0.012
2026-04-05T18:17:32.7524100Z,0.004
2026-04-05T18:17:32.7986718Z,0.007
2026-04-05T18:17:32.7988246Z,0.002
2026-04-05T18:17:32.8456072Z,0.003
2026-04-05T18:17:32.8458538Z,0.007
2026-04-05T18:17:32.8923892Z,0.011
2026-04-05T18:17:32.8934763Z,0.024
2026-04-05T18:17:32.9400396Z,0.010
2026-04-05T18:17:32.9402615Z,0.003
2026-04-05T18:17:32.9869780Z,0.001
2026-04-05T18:17:32.9871095Z,0.001
2026-04-05T18:17:33.0336894Z,0.010
2026-04-05T18:17:33.0802183Z,0.008
2026-04-05T18:17:33.1277489Z,0.009
2026-04-05T18:17:33.1349384Z,0.005
2026-04-05T18:17:33.1752735Z,0.002
2026-04-05T18:17:33.1754640Z,0.002
2026-04-05T18:17:33.2223425Z,0.007
2026-04-05T18:17:33.2224680Z,0.001
2026-04-05T18:17:33.2679437Z,0.010
2026-04-05T18:17:33.2687549Z,0.008
2026-04-05T18:17:33.3165119Z,0.014
2026-04-05T18:17:33.3174406Z,0.008
2026-04-05T18:17:33.3262467Z,0.009
2026-04-05T18:17:33.3265310Z,0.009
2026-04-05T18:17:33.3266345Z,0.002
2026-04-05T18:17:33.3266968Z,0.002
2026-04-05T18:17:33.3279286Z,0.006
2026-04-05T18:17:33.3285450Z,0.013
2026-04-05T18:17:33.3286512Z,0.002
2026-04-05T18:17:33.3286945Z,0.001
2026-04-05T18:17:33.3287382Z,0.001
2026-04-05T18:17:33.3331925Z,0.007
2026-04-05T18:17:33.3332843Z,0.007
2026-04-05T18:17:33.3333440Z,0.002
2026-04-05T18:17:33.3334317Z,0.003
2026-04-05T18:17:33.3334905Z,0.002
2026-04-05T18:17:33.3335221Z,0.001
2026-04-05T18:17:33.3335929Z,0.002
2026-04-05T18:17:33.3337950Z,0.003
2026-04-05T18:17:33.3338359Z,0.001
2026-04-05T18:17:33.3339333Z,0.001
2026-04-05T18:17:33.3340063Z,0.002
2026-04-05T18:17:33.3341265Z,0.002
2026-04-05T18:17:33.3342452Z,0.002
2026-04-05T18:17:33.3343279Z,0.002
2026-04-05T18:17:33.3344177Z,0.001
2026-04-05T18:17:33.3344596Z,0.001
2026-04-05T18:17:33.3344946Z,0.001
2026-04-05T18:17:33.3345184Z,0.001
2026-04-05T18:17:33.3345405Z,0.001
2026-04-05T18:17:33.3345775Z,0.001
2026-04-05T18:17:33.3345995Z,0.001
2026-04-05T18:17:33.3346409Z,0.001
2026-04-05T18:17:33.3624637Z,0.001
2026-04-05T18:17:33.4097097Z,0.002
2026-04-05T18:17:33.4570218Z,0.008
2026-04-05T18:17:33.4577444Z,0.011
2026-04-05T18:17:33.5027406Z,0.001
2026-04-05T18:17:33.5493839Z,0.014
2026-04-05T18:17:33.5511014Z,0.019
2026-04-05T18:17:33.5511428Z,0.003
2026-04-05T18:17:33.5511914Z,0.023
2026-04-05T18:17:33.5512132Z,0.002
2026-04-05T18:17:33.5512317Z,0.002
2026-04-05T18:17:33.5512555Z,0.002
2026-04-05T18:17:33.5512806Z,0.002
2026-04-05T18:17:33.5513009Z,0.002
2026-04-05T18:17:33.5513179Z,0.002
2026-04-05T18:17:33.5513358Z,0.002
2026-04-05T18:17:33.5513525Z,0.001
2026-04-05T18:17:33.5513696Z,0.002
2026-04-05T18:17:33.5514003Z,0.002
2026-04-05T18:17:33.5514247Z,0.002
2026-04-05T18:17:33.5514420Z,0.002
2026-04-05T18:17:33.5514586Z,0.001
2026-04-05T18:17:33.5514754Z,0.002
2026-04-05T18:17:33.5514931Z,0.002
2026-04-05T18:17:33.5515105Z,0.002
2026-04-05T18:17:33.5515276Z,0.001
2026-04-05T18:17:33.5515447Z,0.001
2026-04-05T18:17:33.5515693Z,0.009
2026-04-05T18:17:33.5515865Z,0.002
2026-04-05T18:17:33.5516038Z,0.001
2026-04-05T18:17:33.5516206Z,0.001
2026-04-05T18:17:33.5516374Z,0.002
2026-04-05T18:17:33.5969109Z,0.018
2026-04-05T18:17:33.5991319Z,0.018
2026-04-05T18:17:33.6427219Z,0.007
2026-04-05T18:17:33.6428441Z,0.001
2026-04-05T18:17:33.6895439Z,0.003
2026-04-05T18:17:33.6897789Z,0.003
2026-04-05T18:17:33.7365560Z,0.003
2026-04-05T18:17:33.7388689Z,0.013
2026-04-05T18:17:33.7834911Z,0.013
2026-04-05T18:17:33.7837757Z,0.004
2026-04-05T18:17:33.8301634Z,0.012
2026-04-05T18:17:33.8763935Z,0.009
2026-04-05T18:17:33.9222188Z,0.002
2026-04-05T18:17:33.9225086Z,0.002
2026-04-05T18:17:33.9700249Z,0.002
2026-04-05T18:17:33.9701994Z,0.002
2026-04-05T18:17:34.0169446Z,0.003
2026-04-05T18:17:34.0647401Z,0.010
2026-04-05T18:17:34.0661331Z,0.009
2026-04-05T18:17:34.1115537Z,0.007
2026-04-05T18:17:34.1599078Z,0.049
2026-04-05T18:17:34.2062413Z,0.004
2026-04-05T18:17:34.2079202Z,0.015
2026-04-05T18:17:34.2522760Z,0.003
2026-04-05T18:17:34.2524422Z,0.002
2026-04-05T18:17:34.2981894Z,0.003
2026-04-05T18:17:34.3447488Z,0.007
2026-04-05T18:17:34.3449155Z,0.003
2026-04-05T18:17:34.3924130Z,0.009
2026-04-05T18:17:34.3926048Z,0.004
2026-04-05T18:17:34.4378070Z,0.008
2026-04-05T18:17:34.4841129Z,0.002
2026-04-05T18:17:34.5310446Z,0.002
2026-04-05T18:17:34.5311743Z,0.002
2026-04-05T18:17:34.5789846Z,0.003
2026-04-05T18:17:34.5791364Z,0.002
2026-04-05T18:17:34.6263039Z,0.009
2026-04-05T18:17:34.6727323Z,0.011
2026-04-05T18:17:34.6733249Z,0.010
2026-04-05T18:17:34.7187910Z,0.003
2026-04-05T18:17:34.7665664Z,0.005
2026-04-05T18:17:34.8130667Z,0.003
2026-04-05T18:17:34.8140812Z,0.005
2026-04-05T18:17:34.8609656Z,0.005
2026-04-05T18:17:34.9072568Z,0.003
2026-04-05T18:17:34.9542141Z,0.003
2026-04-05T18:17:35.0009489Z,0.009
2026-04-05T18:17:35.0019960Z,0.007
2026-04-05T18:17:35.0477247Z,0.003
2026-04-05T18:17:35.0939607Z,0.006
2026-04-05T18:17:35.1411982Z,0.003
2026-04-05T18:17:35.1883762Z,0.003
2026-04-05T18:17:35.1885783Z,0.002
2026-04-05T18:17:35.2355907Z,0.007
2026-04-05T18:17:35.2357837Z,0.003
2026-04-05T18:17:35.2823682Z,0.007
2026-04-05T18:17:35.2832904Z,0.023
2026-04-05T18:17:35.3285688Z,0.002
2026-04-05T18:17:35.3292396Z,0.002
2026-04-05T18:17:35.3292609Z,0.001
2026-04-05T18:17:35.3752353Z,0.004
2026-04-05T18:17:35.4225518Z,0.007
2026-04-05T18:17:35.4238653Z,0.007
2026-04-05T18:17:35.4678959Z,0.002
2026-04-05T18:17:35.4688347Z,0.004
2026-04-05T18:17:35.5142640Z,0.004
2026-04-05T18:17:35.5616075Z,0.002
2026-04-05T18:17:35.6081450Z,0.006
2026-04-05T18:17:35.6083561Z,0.002
2026-04-05T18:17:35.6544350Z,0.003
2026-04-05T18:17:35.7005523Z,0.004
2026-04-05T18:17:35.7006704Z,0.001
2026-04-05T18:17:35.7470016Z,0.001
2026-04-05T18:17:35.7471090Z,0.001
2026-04-05T18:17:35.7938572Z,0.001
2026-04-05T18:17:35.7939659Z,0.001
2026-04-05T18:17:35.8272439Z,0.006
2026-04-05T18:17:35.8274180Z,0.002
2026-04-05T18:17:35.8275814Z,0.002
2026-04-05T18:17:35.8280576Z,0.033
2026-04-05T18:17:35.8333836Z,0.013
