Timestamp,FusionMs,FusedTrackCount
2026-04-05T18:30:42.6857801Z,3.872,0
2026-04-05T18:30:42.6976014Z,0.022,0
2026-04-05T18:30:42.7112678Z,0.154,0
2026-04-05T18:30:42.7254110Z,13.579,0
2026-04-05T18:30:42.7262636Z,0.030,0
2026-04-05T18:30:42.7274717Z,0.035,0
2026-04-05T18:30:42.7276583Z,0.009,0
2026-04-05T18:30:42.7282149Z,0.410,0
2026-04-05T18:30:42.7284547Z,0.026,0
2026-04-05T18:30:42.7307305Z,0.034,0
2026-04-05T18:30:42.7419242Z,0.051,0
2026-04-05T18:30:42.7746708Z,0.084,0
2026-04-05T18:30:42.8032679Z,0.024,0
2026-04-05T18:30:42.8345526Z,0.493,0
2026-04-05T18:30:42.8663005Z,0.084,0
2026-04-05T18:30:42.8981393Z,0.045,0
2026-04-05T18:30:42.9304121Z,0.976,0
2026-04-05T18:30:42.9694095Z,8.950,1
2026-04-05T18:30:42.9937233Z,1.999,1
2026-04-05T18:30:43.0253338Z,0.943,1
2026-04-05T18:30:43.0558719Z,1.012,1
2026-04-05T18:30:43.0864285Z,0.686,1
2026-04-05T18:30:43.1180340Z,1.116,1
2026-04-05T18:30:43.1502030Z,0.672,1
2026-04-05T18:30:43.1798372Z,0.020,1
2026-04-05T18:30:43.2107336Z,0.027,1
2026-04-05T18:30:43.2418390Z,0.028,1
2026-04-05T18:30:43.2747233Z,0.095,1
2026-04-05T18:30:43.3048311Z,0.021,1
2026-04-05T18:30:43.3375757Z,0.336,0
2026-04-05T18:30:43.3674025Z,0.063,0
2026-04-05T18:30:43.3984628Z,0.396,0
2026-04-05T18:30:43.4303439Z,0.960,0
2026-04-05T18:30:43.4604931Z,0.043,0
2026-04-05T18:30:43.4886752Z,0.707,0
2026-04-05T18:30:43.5195636Z,1.026,0
2026-04-05T18:30:43.5495221Z,0.118,1
2026-04-05T18:30:43.5809983Z,0.066,1
2026-04-05T18:30:43.6129067Z,0.146,1
2026-04-05T18:30:43.6449782Z,0.115,1
2026-04-05T18:30:43.6759995Z,0.147,1
2026-04-05T18:30:43.7072364Z,0.020,1
2026-04-05T18:30:43.7381612Z,0.020,1
2026-04-05T18:30:43.7691594Z,0.016,1
2026-04-05T18:30:43.8004438Z,0.046,1
2026-04-05T18:30:43.8309477Z,0.101,1
2026-04-05T18:30:43.8636450Z,0.361,1
2026-04-05T18:30:43.8941135Z,0.593,1
2026-04-05T18:30:43.9254192Z,0.657,1
2026-04-05T18:30:43.9572212Z,0.421,1
2026-04-05T18:30:43.9860731Z,0.047,1
2026-04-05T18:30:44.0178093Z,0.739,1
2026-04-05T18:30:44.0486509Z,0.501,1
2026-04-05T18:30:44.0797759Z,0.044,1
2026-04-05T18:30:44.1108931Z,0.044,1
2026-04-05T18:30:44.1421159Z,0.018,1
2026-04-05T18:30:44.1744198Z,0.312,1
2026-04-05T18:30:44.2050025Z,0.054,1
2026-04-05T18:30:44.2377273Z,0.508,1
2026-04-05T18:30:44.2697307Z,0.832,1
2026-04-05T18:30:44.3008528Z,0.769,1
2026-04-05T18:30:44.3314801Z,0.015,1
