Timestamp,FusionMs,FusedTrackCount
2026-04-05T18:19:45.9616248Z,1.985,0
2026-04-05T18:19:45.9678922Z,0.019,0
2026-04-05T18:19:45.9751398Z,7.002,0
2026-04-05T18:19:45.9769285Z,0.033,0
2026-04-05T18:19:45.9771939Z,0.018,0
2026-04-05T18:19:45.9995435Z,0.040,0
2026-04-05T18:19:46.0395727Z,9.769,1
2026-04-05T18:19:46.0611923Z,0.030,1
2026-04-05T18:19:46.0932421Z,0.501,1
2026-04-05T18:19:46.1239980Z,0.410,1
2026-04-05T18:19:46.1636103Z,0.984,1
2026-04-05T18:19:46.1862267Z,0.049,1
2026-04-05T18:19:46.2173430Z,0.021,1
2026-04-05T18:19:46.2488563Z,1.132,0
2026-04-05T18:19:46.2789972Z,0.032,0
2026-04-05T18:19:46.3096282Z,0.172,1
2026-04-05T18:19:46.3423292Z,1.359,1
2026-04-05T18:19:46.3722805Z,0.049,1
2026-04-05T18:19:46.4046101Z,0.476,1
2026-04-05T18:19:46.4364423Z,0.754,1
2026-04-05T18:19:46.4661468Z,0.019,1
2026-04-05T18:19:46.4977101Z,0.060,1
2026-04-05T18:19:46.5286818Z,0.037,1
2026-04-05T18:19:46.5604753Z,0.568,0
2026-04-05T18:19:46.5912463Z,0.529,0
2026-04-05T18:19:46.6227450Z,0.601,0
2026-04-05T18:19:46.6532477Z,0.043,0
2026-04-05T18:19:46.6848378Z,0.039,0
2026-04-05T18:19:46.7167619Z,0.638,0
2026-04-05T18:19:46.7480773Z,0.023,0
2026-04-05T18:19:46.7805402Z,0.798,0
2026-04-05T18:19:46.8101513Z,0.017,0
2026-04-05T18:19:46.8422756Z,0.046,0
2026-04-05T18:19:46.8733185Z,0.037,0
2026-04-05T18:19:46.8979687Z,0.104,0
2026-04-05T18:19:46.8980502Z,0.006,0
2026-04-05T18:19:46.8981264Z,0.010,0
2026-04-05T18:19:46.8981890Z,0.007,0
2026-04-05T18:19:46.8994067Z,0.024,0
2026-04-05T18:19:46.9000624Z,0.029,0
2026-04-05T18:19:46.9001425Z,0.006,0
2026-04-05T18:19:46.9001754Z,0.005,0
2026-04-05T18:19:46.9049921Z,0.026,0
2026-04-05T18:19:46.9050606Z,0.007,0
2026-04-05T18:19:46.9051381Z,0.008,0
2026-04-05T18:19:46.9052892Z,0.016,0
2026-04-05T18:19:46.9055995Z,0.015,0
2026-04-05T18:19:46.9056713Z,0.005,0
2026-04-05T18:19:46.9057569Z,0.011,0
2026-04-05T18:19:46.9058619Z,0.006,0
2026-04-05T18:19:46.9059445Z,0.007,0
2026-04-05T18:19:46.9060013Z,0.010,0
2026-04-05T18:19:46.9060402Z,0.005,0
2026-04-05T18:19:46.9061582Z,0.006,0
2026-04-05T18:19:46.9064394Z,0.013,0
2026-04-05T18:19:46.9358986Z,0.051,0
2026-04-05T18:19:46.9672085Z,0.019,0
2026-04-05T18:19:47.0000006Z,0.450,0
2026-04-05T18:19:47.0328015Z,0.088,1
2026-04-05T18:19:47.0633855Z,1.023,1
2026-04-05T18:19:47.0941566Z,0.070,1
2026-04-05T18:19:47.1257551Z,0.486,1
2026-04-05T18:19:47.1559450Z,0.029,1
2026-04-05T18:19:47.1869014Z,0.032,1
2026-04-05T18:19:47.2184285Z,0.088,1
2026-04-05T18:19:47.2489721Z,0.054,1
2026-04-05T18:19:47.2806704Z,0.058,1
2026-04-05T18:19:47.3112200Z,0.033,0
2026-04-05T18:19:47.3422606Z,0.029,0
2026-04-05T18:19:47.3738169Z,0.042,0
2026-04-05T18:19:47.4044111Z,0.017,0
2026-04-05T18:19:47.4358211Z,0.033,0
2026-04-05T18:19:47.4661789Z,0.026,0
2026-04-05T18:19:47.4982208Z,0.122,0
2026-04-05T18:19:47.5295017Z,0.044,0
2026-04-05T18:19:47.5613182Z,0.050,0
2026-04-05T18:19:47.5930197Z,0.151,1
2026-04-05T18:19:47.6241399Z,0.031,1
2026-04-05T18:19:47.6558995Z,0.057,1
2026-04-05T18:19:47.6865212Z,0.046,1
2026-04-05T18:19:47.7176700Z,0.039,1
2026-04-05T18:19:47.7484115Z,0.069,1
2026-04-05T18:19:47.7850802Z,0.548,1
2026-04-05T18:19:47.8129699Z,0.697,0
2026-04-05T18:19:47.8433809Z,0.107,1
2026-04-05T18:19:47.8750571Z,0.579,1
2026-04-05T18:19:47.9059308Z,0.745,1
2026-04-05T18:19:47.9372833Z,0.039,1
2026-04-05T18:19:47.9685277Z,0.804,1
2026-04-05T18:19:47.9989665Z,0.036,1
2026-04-05T18:19:48.0310382Z,0.054,1
2026-04-05T18:19:48.0628126Z,1.014,1
2026-04-05T18:19:48.0920983Z,0.044,1
2026-04-05T18:19:48.1245108Z,0.561,1
2026-04-05T18:19:48.1570002Z,1.087,1
2026-04-05T18:19:48.1870131Z,0.068,1
2026-04-05T18:19:48.2194701Z,0.051,1
2026-04-05T18:19:48.2501636Z,0.035,1
2026-04-05T18:19:48.2833739Z,0.496,1
2026-04-05T18:19:48.3138731Z,0.061,1
2026-04-05T18:19:48.3477473Z,1.299,1
2026-04-05T18:19:48.3787284Z,0.112,1
2026-04-05T18:19:48.4113262Z,1.062,1
2026-04-05T18:19:48.4406297Z,0.013,1
2026-04-05T18:19:48.4721413Z,0.431,1
2026-04-05T18:19:48.5031758Z,0.022,1
2026-04-05T18:19:48.5342964Z,0.025,1
2026-04-05T18:19:48.5652628Z,0.015,1
2026-04-05T18:19:48.5965358Z,0.067,0
2026-04-05T18:19:48.6273651Z,0.034,0
2026-04-05T18:19:48.6588846Z,0.404,0
2026-04-05T18:19:48.6903711Z,0.639,0
2026-04-05T18:19:48.7227293Z,0.637,0
2026-04-05T18:19:48.7524172Z,0.071,1
2026-04-05T18:19:48.7829528Z,0.096,1
2026-04-05T18:19:48.8160533Z,0.503,1
2026-04-05T18:19:48.8480209Z,0.678,1
2026-04-05T18:19:48.8780797Z,0.396,1
2026-04-05T18:19:48.9098398Z,0.897,1
2026-04-05T18:19:48.9416811Z,1.485,1
2026-04-05T18:19:48.9718403Z,0.646,1
2026-04-05T18:19:49.0030807Z,0.554,1
2026-04-05T18:19:49.0343088Z,0.022,1
2026-04-05T18:19:49.0653036Z,0.063,1
2026-04-05T18:19:49.0966070Z,0.023,1
2026-04-05T18:19:49.1292663Z,1.218,1
2026-04-05T18:19:49.1596622Z,0.678,1
2026-04-05T18:19:49.1901913Z,0.017,1
2026-04-05T18:19:49.2220182Z,0.065,1
2026-04-05T18:19:49.2523753Z,0.034,1
2026-04-05T18:19:49.2847372Z,0.995,0
2026-04-05T18:19:49.3169767Z,1.481,0
2026-04-05T18:19:49.3478352Z,0.050,0
2026-04-05T18:19:49.3785190Z,0.131,1
2026-04-05T18:19:49.3958075Z,0.020,1
2026-04-05T18:19:49.3958735Z,0.007,1
2026-04-05T18:19:49.3986773Z,0.015,1
2026-04-05T18:19:49.3987436Z,0.004,1
2026-04-05T18:19:49.3988433Z,0.003,1
2026-04-05T18:19:49.3988698Z,0.003,1
2026-04-05T18:19:49.3989101Z,0.002,1
2026-04-05T18:19:49.3989355Z,0.006,1
2026-04-05T18:19:49.3992508Z,0.010,1
