Timestamp,DispatchMs
2026-04-05T18:14:57.4685955Z,0.528
2026-04-05T18:14:57.4854264Z,0.041
2026-04-05T18:14:57.4861517Z,0.006
2026-04-05T18:14:57.4873079Z,0.004
2026-04-05T18:14:57.4876446Z,0.004
2026-04-05T18:14:57.5165325Z,0.006
2026-04-05T18:14:57.5483447Z,0.017
2026-04-05T18:14:57.5486257Z,0.004
2026-04-05T18:14:57.5889453Z,0.013
2026-04-05T18:14:57.6119503Z,0.002
2026-04-05T18:14:57.6132593Z,0.007
2026-04-05T18:14:57.6421117Z,0.001
2026-04-05T18:14:57.6423281Z,0.004
2026-04-05T18:14:57.6728418Z,0.001
2026-04-05T18:14:57.7047691Z,0.002
2026-04-05T18:14:57.7353908Z,0.017
2026-04-05T18:14:57.7670166Z,0.002
2026-04-05T18:14:57.7979574Z,0.006
2026-04-05T18:14:57.8002796Z,0.007
2026-04-05T18:14:57.8300448Z,0.003
2026-04-05T18:14:57.8309280Z,0.006
2026-04-05T18:14:57.8600392Z,0.001
2026-04-05T18:14:57.8601789Z,0.002
2026-04-05T18:14:57.8910141Z,0.009
2026-04-05T18:14:57.8913366Z,0.004
2026-04-05T18:14:57.9216104Z,0.001
2026-04-05T18:14:57.9217573Z,0.001
2026-04-05T18:14:57.9526186Z,0.002
2026-04-05T18:14:57.9840799Z,0.007
2026-04-05T18:14:57.9842368Z,0.002
2026-04-05T18:14:58.0143227Z,0.008
2026-04-05T18:14:58.0466951Z,0.011
2026-04-05T18:14:58.0766859Z,0.001
2026-04-05T18:14:58.1081135Z,0.008
2026-04-05T18:14:58.1400201Z,0.002
2026-04-05T18:14:58.1409374Z,0.005
2026-04-05T18:14:58.1709688Z,0.002
2026-04-05T18:14:58.1718167Z,0.001
2026-04-05T18:14:58.2032076Z,0.001
2026-04-05T18:14:58.2039880Z,0.005
2026-04-05T18:14:58.2348046Z,0.007
2026-04-05T18:14:58.2671603Z,0.004
2026-04-05T18:14:58.2690741Z,0.014
2026-04-05T18:14:58.2975957Z,0.003
2026-04-05T18:14:58.2977872Z,0.002
2026-04-05T18:14:58.3277558Z,0.003
2026-04-05T18:14:58.3591006Z,0.002
2026-04-05T18:14:58.3592851Z,0.003
2026-04-05T18:14:58.3896307Z,0.002
2026-04-05T18:14:58.4205503Z,0.001
2026-04-05T18:14:58.4206894Z,0.002
2026-04-05T18:14:58.4525146Z,0.007
2026-04-05T18:14:58.4526515Z,0.001
2026-04-05T18:14:58.4849865Z,0.009
2026-04-05T18:14:58.4937110Z,0.007
2026-04-05T18:14:58.4938723Z,0.002
2026-04-05T18:14:58.4939218Z,0.001
2026-04-05T18:14:58.4939587Z,0.004
2026-04-05T18:14:58.4959517Z,0.009
2026-04-05T18:14:58.4969073Z,0.009
2026-04-05T18:14:58.4971335Z,0.004
2026-04-05T18:14:58.4972413Z,0.002
2026-04-05T18:14:58.5019765Z,0.006
2026-04-05T18:14:58.5020162Z,0.001
2026-04-05T18:14:58.5021189Z,0.001
2026-04-05T18:14:58.5021770Z,0.001
2026-04-05T18:14:58.5022343Z,0.001
2026-04-05T18:14:58.5024372Z,0.003
2026-04-05T18:14:58.5024857Z,0.002
2026-04-05T18:14:58.5025250Z,0.001
2026-04-05T18:14:58.5025932Z,0.002
2026-04-05T18:14:58.5026792Z,0.004
2026-04-05T18:14:58.5031014Z,0.001
2026-04-05T18:14:58.5031628Z,0.001
2026-04-05T18:14:58.5031898Z,0.001
2026-04-05T18:14:58.5032195Z,0.001
2026-04-05T18:14:58.5032929Z,0.001
2026-04-05T18:14:58.5033351Z,0.001
2026-04-05T18:14:58.5033997Z,0.001
2026-04-05T18:14:58.5034539Z,0.001
2026-04-05T18:14:58.5034750Z,0.001
2026-04-05T18:14:58.5035209Z,0.001
2026-04-05T18:14:58.5035564Z,0.001
2026-04-05T18:14:58.5035772Z,0.001
2026-04-05T18:14:58.5036098Z,0.001
2026-04-05T18:14:58.5158450Z,0.001
2026-04-05T18:14:58.5471646Z,0.008
2026-04-05T18:14:58.5473215Z,0.005
2026-04-05T18:14:58.5797828Z,0.003
2026-04-05T18:14:58.6101946Z,0.011
2026-04-05T18:14:58.6122645Z,0.003
2026-04-05T18:14:58.6418918Z,0.004
2026-04-05T18:14:58.6434607Z,0.011
2026-04-05T18:14:58.6728338Z,0.004
2026-04-05T18:14:58.6904329Z,0.003
2026-04-05T18:14:58.6904642Z,0.001
2026-04-05T18:14:58.6904924Z,0.012
2026-04-05T18:14:58.6905083Z,0.001
2026-04-05T18:14:58.6905231Z,0.001
2026-04-05T18:14:58.6905387Z,0.001
2026-04-05T18:14:58.6905534Z,0.001
2026-04-05T18:14:58.6905683Z,0.001
2026-04-05T18:14:58.6905832Z,0.001
2026-04-05T18:14:58.6905995Z,0.001
2026-04-05T18:14:58.6906143Z,0.001
2026-04-05T18:14:58.6906467Z,0.019
2026-04-05T18:14:58.6906624Z,0.001
2026-04-05T18:14:58.6906771Z,0.001
2026-04-05T18:14:58.6906923Z,0.001
2026-04-05T18:14:58.6907076Z,0.001
2026-04-05T18:14:58.6907228Z,0.001
2026-04-05T18:14:58.6907380Z,0.001
2026-04-05T18:14:58.6907530Z,0.001
2026-04-05T18:14:58.6907676Z,0.001
2026-04-05T18:14:58.6908949Z,0.002
2026-04-05T18:14:58.6909384Z,0.001
2026-04-05T18:14:58.6909544Z,0.001
2026-04-05T18:14:58.6909692Z,0.001
2026-04-05T18:14:58.6909840Z,0.001
2026-04-05T18:14:58.7043476Z,0.016
2026-04-05T18:14:58.7057548Z,0.003
2026-04-05T18:14:58.7348326Z,0.003
2026-04-05T18:14:58.7391747Z,0.011
2026-04-05T18:14:58.7392047Z,0.001
2026-04-05T18:14:58.7651660Z,0.001
2026-04-05T18:14:58.7969704Z,0.009
2026-04-05T18:14:58.7970968Z,0.002
2026-04-05T18:14:58.8296221Z,0.011
2026-04-05T18:14:58.8298685Z,0.005
2026-04-05T18:14:58.8603205Z,0.010
2026-04-05T18:14:58.8916318Z,0.002
2026-04-05T18:14:58.9223135Z,0.011
2026-04-05T18:14:58.9234241Z,0.007
2026-04-05T18:14:58.9534413Z,0.013
2026-04-05T18:14:58.9538013Z,0.002
2026-04-05T18:14:58.9848550Z,0.003
2026-04-05T18:14:59.0167310Z,0.003
2026-04-05T18:14:59.0182197Z,0.004
2026-04-05T18:14:59.0463705Z,0.002
2026-04-05T18:14:59.0474144Z,0.009
2026-04-05T18:14:59.0787852Z,0.009
2026-04-05T18:14:59.0789627Z,0.001
2026-04-05T18:14:59.1093893Z,0.006
2026-04-05T18:14:59.1406602Z,0.002
2026-04-05T18:14:59.1411228Z,0.002
