Timestamp,FusionMs,FusedTrackCount
2026-04-05T18:14:57.4786929Z,2.679,0
2026-04-05T18:14:57.4856698Z,0.027,0
2026-04-05T18:14:57.4863219Z,0.025,0
2026-04-05T18:14:57.4875175Z,0.113,0
2026-04-05T18:14:57.4977095Z,9.988,0
2026-04-05T18:14:57.5186257Z,0.374,0
2026-04-05T18:14:57.5484634Z,0.018,0
2026-04-05T18:14:57.5893761Z,0.092,0
2026-04-05T18:14:57.6131235Z,1.022,0
2026-04-05T18:14:57.6422849Z,0.055,0
2026-04-05T18:14:57.6729629Z,0.034,0
2026-04-05T18:14:57.7049536Z,0.060,0
2026-04-05T18:14:57.7377259Z,0.627,0
2026-04-05T18:14:57.7678275Z,0.733,0
2026-04-05T18:14:57.7987033Z,0.643,0
2026-04-05T18:14:57.8308652Z,0.719,0
2026-04-05T18:14:57.8601527Z,0.047,0
2026-04-05T18:14:57.8912082Z,0.049,0
2026-04-05T18:14:57.9217227Z,0.042,0
2026-04-05T18:14:57.9527588Z,0.061,0
2026-04-05T18:14:57.9842167Z,0.037,0
2026-04-05T18:14:58.0144645Z,0.025,0
2026-04-05T18:14:58.0476279Z,0.783,0
2026-04-05T18:14:58.0768344Z,0.063,0
2026-04-05T18:14:58.1088538Z,0.596,0
2026-04-05T18:14:58.1408634Z,0.713,0
2026-04-05T18:14:58.1717417Z,0.713,0
2026-04-05T18:14:58.2039245Z,0.648,0
2026-04-05T18:14:58.2349242Z,0.033,0
2026-04-05T18:14:58.2689248Z,1.557,0
2026-04-05T18:14:58.2977610Z,0.062,0
2026-04-05T18:14:58.3280083Z,0.104,0
2026-04-05T18:14:58.3592479Z,0.058,0
2026-04-05T18:14:58.3897576Z,0.047,0
2026-04-05T18:14:58.4206713Z,0.049,0
2026-04-05T18:14:58.4526261Z,0.045,0
2026-04-05T18:14:58.4857423Z,0.625,0
2026-04-05T18:14:58.4938481Z,0.017,0
2026-04-05T18:14:58.4939047Z,0.015,0
2026-04-05T18:14:58.4939438Z,0.006,0
2026-04-05T18:14:58.4939906Z,0.007,0
2026-04-05T18:14:58.4961262Z,0.030,0
2026-04-05T18:14:58.4970687Z,0.068,0
2026-04-05T18:14:58.4972146Z,0.013,0
2026-04-05T18:14:58.5019236Z,0.035,0
2026-04-05T18:14:58.5021003Z,0.011,0
2026-04-05T18:14:58.5021536Z,0.008,0
2026-04-05T18:14:58.5022129Z,0.007,0
2026-04-05T18:14:58.5024054Z,0.015,0
2026-04-05T18:14:58.5025702Z,0.012,0
2026-04-05T18:14:58.5030016Z,0.266,0
2026-04-05T18:14:58.5031438Z,0.017,0
2026-04-05T18:14:58.5032790Z,0.006,0
2026-04-05T18:14:58.5033169Z,0.005,0
2026-04-05T18:14:58.5033664Z,0.007,0
2026-04-05T18:14:58.5034413Z,0.009,0
2026-04-05T18:14:58.5035429Z,0.005,0
2026-04-05T18:14:58.5162202Z,0.306,0
2026-04-05T18:14:58.5472823Z,0.020,0
2026-04-05T18:14:58.5800062Z,0.086,0
2026-04-05T18:14:58.6120735Z,1.709,0
2026-04-05T18:14:58.6433472Z,1.278,0
2026-04-05T18:14:58.6902873Z,17.290,1
2026-04-05T18:14:58.7056334Z,1.171,1
2026-04-05T18:14:58.7390548Z,4.073,1
2026-04-05T18:14:58.7658595Z,0.642,1
2026-04-05T18:14:58.7970804Z,0.017,1
2026-04-05T18:14:58.8298261Z,0.060,1
2026-04-05T18:14:58.8621841Z,1.703,1
2026-04-05T18:14:58.8925686Z,0.824,1
2026-04-05T18:14:58.9233526Z,0.877,1
2026-04-05T18:14:58.9537193Z,0.050,0
2026-04-05T18:14:58.9850996Z,0.105,0
2026-04-05T18:14:59.0180451Z,1.181,0
2026-04-05T18:14:59.0473217Z,0.869,0
2026-04-05T18:14:59.0789391Z,0.026,0
2026-04-05T18:14:59.1095937Z,0.122,1
2026-04-05T18:14:59.1410535Z,0.327,1
2026-04-05T18:14:59.1727432Z,0.701,1
2026-04-05T18:14:59.2038309Z,0.810,1
2026-04-05T18:14:59.2351537Z,1.116,1
2026-04-05T18:14:59.2657931Z,0.046,1
2026-04-05T18:14:59.2971685Z,0.023,1
2026-04-05T18:14:59.3290542Z,1.157,1
2026-04-05T18:14:59.3587083Z,0.566,1
2026-04-05T18:14:59.3900043Z,0.366,1
2026-04-05T18:14:59.4209911Z,0.044,1
2026-04-05T18:14:59.4526070Z,0.028,1
2026-04-05T18:14:59.4836192Z,0.663,1
2026-04-05T18:14:59.5137040Z,0.029,1
2026-04-05T18:14:59.5455306Z,0.077,1
2026-04-05T18:14:59.5769801Z,0.069,1
2026-04-05T18:14:59.6105287Z,1.290,1
2026-04-05T18:14:59.6402856Z,0.475,1
2026-04-05T18:14:59.6746215Z,0.660,1
2026-04-05T18:14:59.7264664Z,0.032,1
2026-04-05T18:14:59.7568196Z,0.556,1
