Timestamp,DispatchMs
2026-04-05T18:41:59.1188150Z,0.522
2026-04-05T18:41:59.1374412Z,0.037
2026-04-05T18:41:59.1377901Z,0.002
2026-04-05T18:41:59.1389842Z,0.007
2026-04-05T18:41:59.1473426Z,0.007
2026-04-05T18:41:59.1608179Z,0.007
2026-04-05T18:41:59.2032236Z,0.009
2026-04-05T18:41:59.2046544Z,0.006
2026-04-05T18:41:59.2227369Z,0.017
2026-04-05T18:41:59.2236778Z,0.005
2026-04-05T18:41:59.2553019Z,0.019
2026-04-05T18:41:59.2577904Z,0.007
2026-04-05T18:41:59.2857507Z,0.002
2026-04-05T18:41:59.2859848Z,0.004
2026-04-05T18:41:59.3170976Z,0.011
2026-04-05T18:41:59.3479073Z,0.002
2026-04-05T18:41:59.3790216Z,0.002
2026-04-05T18:41:59.3792537Z,0.004
2026-04-05T18:41:59.4108716Z,0.009
2026-04-05T18:41:59.4429837Z,0.002
2026-04-05T18:41:59.4742179Z,0.002
2026-04-05T18:41:59.4764057Z,0.004
2026-04-05T18:41:59.5055968Z,0.001
2026-04-05T18:41:59.5293051Z,0.002
2026-04-05T18:41:59.5310662Z,0.011
2026-04-05T18:41:59.5600136Z,0.002
2026-04-05T18:41:59.5900393Z,0.006
2026-04-05T18:41:59.5902805Z,0.003
2026-04-05T18:41:59.6151742Z,0.007
2026-04-05T18:41:59.6153340Z,0.002
2026-04-05T18:41:59.6153777Z,0.001
2026-04-05T18:41:59.6154118Z,0.001
2026-04-05T18:41:59.6174143Z,0.006
2026-04-05T18:41:59.6180366Z,0.004
2026-04-05T18:41:59.6181743Z,0.002
2026-04-05T18:41:59.6182172Z,0.001
2026-04-05T18:41:59.6182541Z,0.001
2026-04-05T18:41:59.6239807Z,0.008
2026-04-05T18:41:59.6240665Z,0.001
2026-04-05T18:41:59.6240997Z,0.001
2026-04-05T18:41:59.6241469Z,0.001
2026-04-05T18:41:59.6241879Z,0.001
2026-04-05T18:41:59.6242101Z,0.001
2026-04-05T18:41:59.6243401Z,0.002
2026-04-05T18:41:59.6243827Z,0.001
2026-04-05T18:41:59.6244374Z,0.001
2026-04-05T18:41:59.6245460Z,0.001
2026-04-05T18:41:59.6246509Z,0.004
2026-04-05T18:41:59.6247284Z,0.001
2026-04-05T18:41:59.6247728Z,0.001
2026-04-05T18:41:59.6250368Z,0.004
2026-04-05T18:41:59.6252918Z,0.004
2026-04-05T18:41:59.6255102Z,0.003
2026-04-05T18:41:59.6259389Z,0.004
2026-04-05T18:41:59.6261088Z,0.005
2026-04-05T18:41:59.6264482Z,0.004
2026-04-05T18:41:59.6267280Z,0.004
2026-04-05T18:41:59.6268227Z,0.012
2026-04-05T18:41:59.6268851Z,0.001
2026-04-05T18:41:59.6270582Z,0.002
2026-04-05T18:41:59.6528490Z,0.002
2026-04-05T18:41:59.6846373Z,0.008
2026-04-05T18:41:59.6855737Z,0.006
2026-04-05T18:41:59.7158514Z,0.006
2026-04-05T18:41:59.7469801Z,0.008
2026-04-05T18:41:59.7475663Z,0.007
2026-04-05T18:41:59.7475992Z,0.001
2026-04-05T18:41:59.7476072Z,0.001
2026-04-05T18:41:59.7476155Z,0.001
2026-04-05T18:41:59.7476299Z,0.001
2026-04-05T18:41:59.7476377Z,0.001
2026-04-05T18:41:59.7476451Z,0.001
2026-04-05T18:41:59.7476524Z,0.001
2026-04-05T18:41:59.7476600Z,0.001
