Timestamp,Gen0Collections,Gen1Collections,Gen2Collections,SuspectedPauseMs
2026-04-05T18:22:12.2934049Z,0,0,0,7.44
2026-04-05T18:22:12.3251457Z,0,0,0,10.47
2026-04-05T18:22:12.3411227Z,0,0,0,5.64
2026-04-05T18:22:12.3569637Z,0,0,0,5.66
2026-04-05T18:22:12.3726552Z,0,0,0,5.54
2026-04-05T18:22:12.4029753Z,0,0,0,5.20
2026-04-05T18:22:12.4193183Z,0,0,0,6.18
2026-04-05T18:22:12.4495977Z,0,0,0,5.16
2026-04-05T18:22:12.4650056Z,0,0,0,5.23
2026-04-05T18:22:12.4806703Z,0,0,0,5.45
2026-04-05T18:22:12.4961128Z,0,0,0,5.15
2026-04-05T18:22:12.5118141Z,0,0,0,5.46
2026-04-05T18:22:12.5271966Z,0,0,0,5.18
2026-04-05T18:22:12.5589721Z,0,0,0,5.74
2026-04-05T18:22:12.5898343Z,0,0,0,5.99
2026-04-05T18:22:12.6053927Z,0,0,0,5.44
2026-04-05T18:22:12.6209729Z,0,0,0,5.46
2026-04-05T18:22:12.6368513Z,0,0,0,5.74
2026-04-05T18:22:12.6524653Z,0,0,0,5.44
2026-04-05T18:22:12.6830824Z,0,0,0,5.55
2026-04-05T18:22:12.6984402Z,0,0,0,5.19
2026-04-05T18:22:12.7140822Z,0,0,0,5.45
2026-04-05T18:22:12.7302562Z,0,0,0,5.87
2026-04-05T18:22:12.7454941Z,0,0,0,5.10
2026-04-05T18:22:12.7608280Z,0,0,0,5.18
2026-04-05T18:22:12.7767691Z,0,0,0,5.78
2026-04-05T18:22:12.7922063Z,0,0,0,5.27
2026-04-05T18:22:12.8077424Z,0,0,0,5.38
2026-04-05T18:22:12.8230532Z,0,0,0,5.16
2026-04-05T18:22:12.8384007Z,0,0,0,5.21
2026-04-05T18:22:12.8542100Z,0,0,0,5.66
2026-04-05T18:22:12.8707053Z,0,0,0,6.35
2026-04-05T18:22:12.8859638Z,0,0,0,5.01
2026-04-05T18:22:12.9018477Z,0,0,0,5.73
2026-04-05T18:22:12.9179156Z,0,0,0,5.63
2026-04-05T18:22:12.9335811Z,0,0,0,5.33
2026-04-05T18:22:12.9488202Z,0,0,0,5.11
2026-04-05T18:22:12.9644486Z,0,0,0,5.26
2026-04-05T18:22:12.9798540Z,0,0,0,5.22
2026-04-05T18:22:12.9950681Z,0,0,0,5.08
2026-04-05T18:22:13.0257004Z,0,0,0,5.46
2026-04-05T18:22:13.0414610Z,0,0,0,5.64
2026-04-05T18:22:13.0574949Z,0,0,0,5.90
2026-04-05T18:22:13.0732780Z,0,0,0,5.65
2026-04-05T18:22:13.0893018Z,0,0,0,5.88
2026-04-05T18:22:13.1198626Z,0,0,0,5.45
2026-04-05T18:22:13.1350450Z,0,0,0,5.03
2026-04-05T18:22:13.1511188Z,0,0,0,5.95
2026-04-05T18:22:13.1671015Z,0,0,0,5.87
2026-04-05T18:22:13.1824407Z,0,0,0,5.22
2026-04-05T18:22:13.1982839Z,0,0,0,5.73
2026-04-05T18:22:13.2137693Z,0,0,0,5.26
2026-04-05T18:22:13.2300505Z,0,0,0,6.00
2026-04-05T18:22:13.2452072Z,0,0,0,5.05
2026-04-05T18:22:13.2604273Z,0,0,0,5.09
2026-04-05T18:22:13.2757751Z,0,0,0,5.25
2026-04-05T18:22:13.3069691Z,0,0,0,6.07
2026-04-05T18:22:13.3230081Z,0,0,0,5.93
2026-04-05T18:22:13.3388149Z,0,0,0,5.66
2026-04-05T18:22:13.3547179Z,0,0,0,5.76
2026-04-05T18:22:13.3699982Z,0,0,0,5.15
2026-04-05T18:22:13.3861416Z,0,0,0,6.01
2026-04-05T18:22:13.4013634Z,0,0,0,5.09
2026-04-05T18:22:13.4166265Z,0,0,0,5.13
2026-04-05T18:22:13.4324461Z,0,0,0,5.70
2026-04-05T18:22:13.4632543Z,0,0,0,5.67
2026-04-05T18:22:13.4796327Z,0,0,0,6.24
2026-04-05T18:22:13.4953506Z,0,0,0,5.56
2026-04-05T18:22:13.5109636Z,0,0,0,5.49
2026-04-05T18:22:13.5265495Z,0,0,0,5.47
2026-04-05T18:22:13.5419303Z,0,0,0,5.21
2026-04-05T18:22:13.5577316Z,0,0,0,5.67
2026-04-05T18:22:13.5882692Z,0,0,0,5.49
2026-04-05T18:22:13.6039413Z,0,0,0,5.55
2026-04-05T18:22:13.6195642Z,0,0,0,5.49
2026-04-05T18:22:13.6348197Z,0,0,0,5.13
2026-04-05T18:22:13.6502797Z,0,0,0,5.34
2026-04-05T18:22:13.6655945Z,0,0,0,5.11
2026-04-05T18:22:13.6813976Z,0,0,0,5.67
2026-04-05T18:22:13.6972689Z,0,0,0,5.69
2026-04-05T18:22:13.7130223Z,0,0,0,5.36
2026-04-05T18:22:13.7298054Z,0,0,0,6.43
2026-04-05T18:22:13.7596284Z,0,0,0,5.24
2026-04-05T18:22:13.7905382Z,0,0,0,5.85
2026-04-05T18:22:13.8062411Z,0,0,0,5.60
2026-04-05T18:22:13.8216390Z,0,0,0,5.28
2026-04-05T18:22:13.8369049Z,0,0,0,5.15
2026-04-05T18:22:13.8521175Z,0,0,0,5.09
2026-04-05T18:22:13.8674247Z,0,0,0,5.20
2026-04-05T18:22:13.8826043Z,0,0,0,5.07
2026-04-05T18:22:13.8981397Z,0,0,0,5.41
2026-04-05T18:22:13.9142591Z,0,0,0,5.81
2026-04-05T18:22:13.9303938Z,0,0,0,5.76
2026-04-05T18:22:13.9460447Z,0,0,0,5.45
2026-04-05T18:22:13.9614952Z,0,0,0,5.25
2026-04-05T18:22:13.9766347Z,0,0,0,5.01
2026-04-05T18:22:13.9919201Z,0,0,0,5.18
2026-04-05T18:22:14.0074205Z,0,0,0,5.39
2026-04-05T18:22:14.0233643Z,0,0,0,5.85
2026-04-05T18:22:14.0678596Z,0,0,0,34.27
2026-04-05T18:22:14.0910696Z,0,0,0,13.10
2026-04-05T18:22:14.1309948Z,0,0,0,6.67
2026-04-05T18:22:14.1619939Z,0,0,0,6.05
2026-04-05T18:22:14.1921997Z,0,0,0,5.14
2026-04-05T18:22:14.2081650Z,0,0,0,5.82
2026-04-05T18:22:14.2235562Z,0,0,0,5.30
2026-04-05T18:22:14.2392774Z,0,0,0,5.63
2026-04-05T18:22:14.2550837Z,0,0,0,5.70
2026-04-05T18:22:14.2853127Z,0,0,0,5.39
2026-04-05T18:22:14.3011474Z,0,0,0,5.75
2026-04-05T18:22:14.3175366Z,0,0,0,6.28
2026-04-05T18:22:14.3328706Z,0,0,0,5.14
2026-04-05T18:22:14.3482699Z,0,0,0,5.25
2026-04-05T18:22:14.3637649Z,0,0,0,5.39
2026-04-05T18:22:14.3790111Z,0,0,0,5.15
2026-04-05T18:22:14.4099640Z,0,0,0,5.94
2026-04-05T18:22:14.4254502Z,0,0,0,5.39
2026-04-05T18:22:14.4415031Z,0,0,0,5.94
2026-04-05T18:22:14.4712212Z,0,0,0,5.63
2026-04-05T18:22:14.5021615Z,0,0,0,5.83
2026-04-05T18:22:14.5175005Z,0,0,0,5.23
2026-04-05T18:22:14.5333087Z,0,0,0,5.70
2026-04-05T18:22:14.5489307Z,0,0,0,5.43
2026-04-05T18:22:14.5650290Z,0,0,0,5.99
2026-04-05T18:22:14.5807492Z,0,0,0,5.62
2026-04-05T18:22:14.6112220Z,0,0,0,5.56
2026-04-05T18:22:14.6265058Z,0,0,0,5.15
2026-04-05T18:22:14.6426148Z,0,0,0,5.98
2026-04-05T18:22:14.6736425Z,0,0,0,5.93
2026-04-05T18:22:14.6894610Z,0,0,0,5.66
2026-04-05T18:22:14.7052447Z,0,0,0,5.62
2026-04-05T18:22:14.7208519Z,0,0,0,5.47
2026-04-05T18:22:14.7508673Z,0,0,0,5.22
2026-04-05T18:22:14.7663608Z,0,0,0,5.36
2026-04-05T18:22:14.7822653Z,0,0,0,5.71
2026-04-05T18:22:14.7988398Z,0,0,0,6.31
2026-04-05T18:22:14.8144648Z,0,0,0,5.11
2026-04-05T18:22:14.8311842Z,0,0,0,6.46
2026-04-05T18:22:14.8608447Z,0,0,0,5.82
2026-04-05T18:22:14.8912099Z,0,0,0,5.21
2026-04-05T18:22:14.9222546Z,0,0,0,5.94
2026-04-05T18:22:14.9380922Z,0,0,0,5.66
2026-04-05T18:22:14.9533924Z,0,0,0,5.14
2026-04-05T18:22:14.9687120Z,0,0,0,5.22
2026-04-05T18:22:14.9849186Z,0,0,0,6.10
2026-04-05T18:22:15.0001683Z,0,0,0,5.14
2026-04-05T18:22:15.0161140Z,0,0,0,5.84
2026-04-05T18:22:15.0313242Z,0,0,0,5.00
2026-04-05T18:22:15.0468977Z,0,0,0,5.44
2026-04-05T18:22:15.0623990Z,0,0,0,5.39
2026-04-05T18:22:15.0778041Z,0,0,0,5.28
2026-04-05T18:22:15.0934231Z,0,0,0,5.51
2026-04-05T18:22:15.1094531Z,0,0,0,5.91
2026-04-05T18:22:15.1254988Z,0,0,0,5.95
2026-04-05T18:22:15.1560704Z,0,0,0,5.37
2026-04-05T18:22:15.1717589Z,0,0,0,5.51
2026-04-05T18:22:15.1876945Z,0,0,0,5.71
2026-04-05T18:22:15.2189578Z,0,0,0,6.07
2026-04-05T18:22:15.2343811Z,0,0,0,5.33
2026-04-05T18:22:15.2497176Z,0,0,0,5.25
2026-04-05T18:22:15.2657406Z,0,0,0,5.93
