Timestamp,FusionMs,FusedTrackCount
2026-04-05T18:05:29.3327451Z,2.124,0
2026-04-05T18:05:29.3462273Z,7.333,0
2026-04-05T18:05:29.3543993Z,0.543,0
2026-04-05T18:05:29.3556473Z,0.807,0
2026-04-05T18:05:29.3639060Z,0.728,0
2026-04-05T18:05:29.3931660Z,0.631,0
2026-04-05T18:05:29.4223516Z,0.706,0
2026-04-05T18:05:29.4536929Z,0.644,0
2026-04-05T18:05:29.4851548Z,0.608,0
2026-04-05T18:05:29.5158367Z,0.607,0
2026-04-05T18:05:29.5477737Z,0.784,0
2026-04-05T18:05:29.5784784Z,0.583,0
2026-04-05T18:05:29.6098279Z,1.024,0
2026-04-05T18:05:29.6414202Z,1.268,0
2026-04-05T18:05:29.6729722Z,0.935,0
2026-04-05T18:05:29.7037930Z,0.741,0
2026-04-05T18:05:29.7340882Z,0.755,0
2026-04-05T18:05:29.7653491Z,1.152,0
2026-04-05T18:05:29.7965399Z,1.208,0
2026-04-05T18:05:29.8276630Z,1.243,0
2026-04-05T18:05:29.8590858Z,0.874,0
2026-04-05T18:05:29.8901749Z,1.252,0
2026-04-05T18:05:29.9202615Z,1.106,0
2026-04-05T18:05:29.9516729Z,0.878,0
2026-04-05T18:05:29.9835399Z,0.875,0
2026-04-05T18:05:30.0161137Z,1.181,0
2026-04-05T18:05:30.0480102Z,1.353,0
2026-04-05T18:05:30.0790945Z,1.464,0
2026-04-05T18:05:30.1103245Z,1.128,0
2026-04-05T18:05:30.1427274Z,1.596,0
2026-04-05T18:05:30.1744630Z,1.972,0
2026-04-05T18:05:30.2037187Z,1.059,0
2026-04-05T18:05:30.2349533Z,0.879,0
2026-04-05T18:05:30.2657581Z,0.636,0
2026-04-05T18:05:30.2981284Z,1.427,0
2026-04-05T18:05:30.3281979Z,0.662,0
2026-04-05T18:05:30.3586585Z,0.656,0
2026-04-05T18:05:30.3959324Z,0.056,0
2026-04-05T18:05:30.3960788Z,0.035,0
2026-04-05T18:05:30.3962140Z,0.023,0
2026-04-05T18:05:30.3963540Z,0.022,0
2026-04-05T18:05:30.4001335Z,0.031,0
2026-04-05T18:05:30.4013938Z,0.056,0
2026-04-05T18:05:30.4015365Z,0.030,0
2026-04-05T18:05:30.4016649Z,0.033,0
2026-04-05T18:05:30.4148742Z,0.044,0
2026-04-05T18:05:30.4151611Z,0.020,0
2026-04-05T18:05:30.4152965Z,0.016,0
2026-04-05T18:05:30.4153996Z,0.023,0
2026-04-05T18:05:30.4157933Z,0.023,0
2026-04-05T18:05:30.4160844Z,0.030,0
2026-04-05T18:05:30.4163819Z,0.040,0
2026-04-05T18:05:30.4167999Z,0.029,0
2026-04-05T18:05:30.4170546Z,0.028,0
2026-04-05T18:05:30.4172514Z,0.023,0
2026-04-05T18:05:30.4173623Z,0.024,0
2026-04-05T18:05:30.4175735Z,0.015,0
2026-04-05T18:05:30.4198568Z,1.658,0
2026-04-05T18:05:30.4236672Z,1.845,0
2026-04-05T18:05:30.4371159Z,0.904,0
2026-04-05T18:05:30.4685001Z,0.579,0
2026-04-05T18:05:30.5006831Z,0.609,0
2026-04-05T18:05:30.5306514Z,0.630,0
2026-04-05T18:05:30.5626700Z,0.595,0
2026-04-05T18:05:30.5939973Z,0.708,0
2026-04-05T18:05:30.6265955Z,1.215,0
2026-04-05T18:05:30.6587116Z,1.872,0
2026-04-05T18:05:30.6880772Z,0.972,0
2026-04-05T18:05:30.7178035Z,0.556,0
2026-04-05T18:05:30.7493129Z,0.782,0
2026-04-05T18:05:30.7803645Z,0.898,0
2026-04-05T18:05:30.8129648Z,1.634,0
2026-04-05T18:05:30.8422997Z,0.703,0
2026-04-05T18:05:30.8735410Z,0.659,0
2026-04-05T18:05:30.9059620Z,1.335,0
2026-04-05T18:05:30.9364221Z,1.377,0
2026-04-05T18:05:30.9688428Z,1.383,0
2026-04-05T18:05:30.9989471Z,1.331,0
2026-04-05T18:05:31.0307109Z,1.268,0
2026-04-05T18:05:31.0625850Z,1.453,0
2026-04-05T18:05:31.0946504Z,1.886,0
2026-04-05T18:05:31.1240683Z,0.968,0
2026-04-05T18:05:31.1551982Z,1.137,0
2026-04-05T18:05:31.1863279Z,0.754,0
2026-04-05T18:05:31.2189456Z,1.310,0
2026-04-05T18:05:31.2500767Z,1.646,0
2026-04-05T18:05:31.2802812Z,0.938,0
2026-04-05T18:05:31.3111997Z,0.670,0
2026-04-05T18:05:31.3421856Z,0.078,0
2026-04-05T18:05:31.3741262Z,0.710,0
2026-04-05T18:05:31.4063651Z,1.725,0
2026-04-05T18:05:31.4993835Z,1.027,0
2026-04-05T18:05:31.5306959Z,0.783,0
2026-04-05T18:05:31.5613071Z,0.710,0
2026-04-05T18:05:31.5922058Z,0.617,0
2026-04-05T18:05:31.6240896Z,0.837,0
2026-04-05T18:05:31.6564470Z,1.317,0
