Timestamp,DispatchMs
2026-04-05T18:00:28.8164549Z,0.405
2026-04-05T18:00:28.8313838Z,0.044
2026-04-05T18:00:28.8319621Z,0.006
2026-04-05T18:00:28.8425763Z,0.011
2026-04-05T18:00:28.8447518Z,0.016
2026-04-05T18:00:28.8450771Z,0.005
2026-04-05T18:00:28.8532432Z,0.006
2026-04-05T18:00:28.8538977Z,0.005
2026-04-05T18:00:28.8559218Z,0.001
2026-04-05T18:00:28.8566463Z,0.001
2026-04-05T18:00:28.8575448Z,0.006
2026-04-05T18:00:28.8588224Z,0.002
2026-04-05T18:00:28.8600579Z,0.008
2026-04-05T18:00:28.8682200Z,0.001
2026-04-05T18:00:28.8835459Z,0.008
2026-04-05T18:00:28.8838718Z,0.004
2026-04-05T18:00:28.8996526Z,0.006
2026-04-05T18:00:28.9166649Z,0.008
2026-04-05T18:00:28.9312550Z,0.001
2026-04-05T18:00:28.9324475Z,0.007
2026-04-05T18:00:28.9465597Z,0.002
2026-04-05T18:00:28.9615264Z,0.008
2026-04-05T18:00:28.9617298Z,0.004
2026-04-05T18:00:28.9772415Z,0.002
2026-04-05T18:00:28.9926513Z,0.009
2026-04-05T18:00:29.0090747Z,0.007
2026-04-05T18:00:29.0243953Z,0.009
2026-04-05T18:00:29.0252192Z,0.007
2026-04-05T18:00:29.0396923Z,0.002
2026-04-05T18:00:29.0405823Z,0.002
2026-04-05T18:00:29.0544842Z,0.008
2026-04-05T18:00:29.0550514Z,0.006
2026-04-05T18:00:29.0705577Z,0.002
2026-04-05T18:00:29.0860488Z,0.003
2026-04-05T18:00:29.0870547Z,0.007
2026-04-05T18:00:29.1016942Z,0.008
2026-04-05T18:00:29.1018478Z,0.003
2026-04-05T18:00:29.1018607Z,0.001
2026-04-05T18:00:29.1175615Z,0.006
2026-04-05T18:00:29.1331075Z,0.008
2026-04-05T18:00:29.1485162Z,0.002
2026-04-05T18:00:29.1508710Z,0.005
2026-04-05T18:00:29.1640040Z,0.008
2026-04-05T18:00:29.1641981Z,0.003
2026-04-05T18:00:29.1798877Z,0.018
2026-04-05T18:00:29.1800346Z,0.001
2026-04-05T18:00:29.1961384Z,0.002
2026-04-05T18:00:29.1978148Z,0.002
2026-04-05T18:00:29.2112727Z,0.006
2026-04-05T18:00:29.2272298Z,0.006
2026-04-05T18:00:29.2436202Z,0.006
2026-04-05T18:00:29.2441303Z,0.006
2026-04-05T18:00:29.2590494Z,0.009
2026-04-05T18:00:29.2595755Z,0.005
2026-04-05T18:00:29.2740306Z,0.008
2026-04-05T18:00:29.2743319Z,0.006
2026-04-05T18:00:29.2899992Z,0.008
2026-04-05T18:00:29.2908367Z,0.009
2026-04-05T18:00:29.3057828Z,0.008
2026-04-05T18:00:29.3062886Z,0.005
2026-04-05T18:00:29.3210768Z,0.002
2026-04-05T18:00:29.3212489Z,0.003
