Timestamp,DispatchMs
2026-04-05T18:07:59.0743966Z,0.489
2026-04-05T18:07:59.0871445Z,0.038
2026-04-05T18:07:59.0875940Z,0.007
2026-04-05T18:07:59.0893796Z,0.007
2026-04-05T18:07:59.0957554Z,0.006
2026-04-05T18:07:59.1263782Z,0.007
2026-04-05T18:07:59.1640917Z,0.018
2026-04-05T18:07:59.1651143Z,0.004
2026-04-05T18:07:59.1897396Z,0.011
2026-04-05T18:07:59.1936715Z,0.008
2026-04-05T18:07:59.2202032Z,0.017
2026-04-05T18:07:59.2210313Z,0.008
2026-04-05T18:07:59.2523115Z,0.006
2026-04-05T18:07:59.2524804Z,0.002
2026-04-05T18:07:59.2838636Z,0.007
2026-04-05T18:07:59.3147472Z,0.001
2026-04-05T18:07:59.3463180Z,0.002
2026-04-05T18:07:59.3770953Z,0.001
2026-04-05T18:07:59.3772504Z,0.002
2026-04-05T18:07:59.4079635Z,0.001
2026-04-05T18:07:59.4096923Z,0.006
2026-04-05T18:07:59.4403948Z,0.006
2026-04-05T18:07:59.4405103Z,0.001
2026-04-05T18:07:59.4723990Z,0.003
2026-04-05T18:07:59.4726068Z,0.002
2026-04-05T18:07:59.5017860Z,0.008
2026-04-05T18:07:59.5334843Z,0.007
2026-04-05T18:07:59.5337057Z,0.004
2026-04-05T18:07:59.5646154Z,0.007
2026-04-05T18:07:59.5653220Z,0.007
2026-04-05T18:07:59.5961964Z,0.001
2026-04-05T18:07:59.6270839Z,0.007
2026-04-05T18:07:59.6273498Z,0.001
2026-04-05T18:07:59.6576427Z,0.006
2026-04-05T18:07:59.6582592Z,0.004
2026-04-05T18:07:59.6893713Z,0.007
2026-04-05T18:07:59.6895718Z,0.003
2026-04-05T18:07:59.7192623Z,0.001
2026-04-05T18:07:59.7199996Z,0.009
2026-04-05T18:07:59.7507221Z,0.001
2026-04-05T18:07:59.7508944Z,0.001
2026-04-05T18:07:59.7818235Z,0.002
2026-04-05T18:07:59.7819827Z,0.002
2026-04-05T18:07:59.8123626Z,0.007
2026-04-05T18:07:59.8436429Z,0.004
