Timestamp,Gen0Collections,Gen1Collections,Gen2Collections,SuspectedPauseMs
2026-04-05T19:25:29.3470821Z,0,0,0,12.20
2026-04-05T19:25:29.4125634Z,0,0,0,6.65
2026-04-05T19:25:29.4494734Z,0,0,0,26.67
2026-04-05T19:25:29.4787576Z,0,0,0,8.72
2026-04-05T19:25:29.5046747Z,0,0,0,15.72
2026-04-05T19:25:29.5403270Z,0,0,0,25.55
2026-04-05T19:25:29.5674053Z,0,0,0,16.95
2026-04-05T19:25:29.5988196Z,0,0,0,6.78
2026-04-05T19:25:29.6158185Z,0,0,0,6.79
2026-04-05T19:25:29.6315296Z,0,0,0,5.52
2026-04-05T19:25:29.6721097Z,0,0,0,15.12
2026-04-05T19:25:29.7130165Z,0,0,0,16.00
2026-04-05T19:25:29.7310175Z,0,0,0,7.64
2026-04-05T19:25:29.7619321Z,0,0,0,6.84
2026-04-05T19:25:29.7787524Z,0,0,0,6.68
2026-04-05T19:25:29.7953414Z,0,0,0,6.32
2026-04-05T19:25:29.8116772Z,0,0,0,6.14
2026-04-05T19:25:29.8284101Z,0,0,0,6.49
2026-04-05T19:25:29.8454093Z,0,0,0,6.78
2026-04-05T19:25:29.8616525Z,0,0,0,6.08
2026-04-05T19:25:29.8787773Z,0,0,0,6.96
2026-04-05T19:25:29.8951280Z,0,0,0,6.07
2026-04-05T19:25:29.9207981Z,0,0,0,15.52
2026-04-05T19:25:29.9534289Z,0,0,0,6.55
2026-04-05T19:25:29.9701198Z,0,0,0,6.01
2026-04-05T19:25:29.9867058Z,0,0,0,6.22
2026-04-05T19:25:30.0121882Z,0,0,0,15.08
2026-04-05T19:25:30.0283377Z,0,0,0,5.95
2026-04-05T19:25:30.0453947Z,0,0,0,6.89
2026-04-05T19:25:30.0707159Z,0,0,0,15.10
2026-04-05T19:25:30.0870051Z,0,0,0,6.13
2026-04-05T19:25:30.1043898Z,0,0,0,7.18
2026-04-05T19:25:30.1199170Z,0,0,0,5.32
2026-04-05T19:25:30.1362404Z,0,0,0,6.05
2026-04-05T19:25:30.1611212Z,0,0,0,14.51
2026-04-05T19:25:30.1867283Z,0,0,0,15.33
2026-04-05T19:25:30.2024212Z,0,0,0,5.52
2026-04-05T19:25:30.2178505Z,0,0,0,5.27
2026-04-05T19:25:30.2361520Z,0,0,0,8.05
2026-04-05T19:25:30.2592024Z,0,0,0,12.88
2026-04-05T19:25:30.2777929Z,0,0,0,8.45
2026-04-05T19:25:30.2936394Z,0,0,0,5.69
2026-04-05T19:25:30.3098857Z,0,0,0,6.08
2026-04-05T19:25:30.3264392Z,0,0,0,6.36
2026-04-05T19:25:30.3431081Z,0,0,0,6.49
2026-04-05T19:25:30.3598730Z,0,0,0,6.58
2026-04-05T19:25:30.3761053Z,0,0,0,6.03
2026-04-05T19:25:30.3928670Z,0,0,0,6.57
2026-04-05T19:25:30.4091777Z,0,0,0,6.09
2026-04-05T19:25:30.4341991Z,0,0,0,14.81
2026-04-05T19:25:30.4511306Z,0,0,0,5.89
2026-04-05T19:25:30.4674219Z,0,0,0,5.85
2026-04-05T19:25:30.4841056Z,0,0,0,5.79
2026-04-05T19:25:30.5009808Z,0,0,0,6.69
2026-04-05T19:25:30.5165460Z,0,0,0,5.31
2026-04-05T19:25:30.5333370Z,0,0,0,6.48
2026-04-05T19:25:30.5499204Z,0,0,0,6.43
2026-04-05T19:25:30.5666651Z,0,0,0,6.42
2026-04-05T19:25:30.5836446Z,0,0,0,6.55
2026-04-05T19:25:30.6005506Z,0,0,0,6.66
2026-04-05T19:25:30.6171922Z,0,0,0,6.36
