Timestamp,RadarId,AssociationMs,KalmanMs,TotalMs,ActiveTrackCount
2026-04-05T18:19:45.9554042Z,00000000-0000-0000-0000-000000000030,2.423,5.374,7.797,1
2026-04-05T18:19:45.9677858Z,00000000-0000-0000-0000-000000000003,0.037,0.463,0.500,1
2026-04-05T18:19:45.9680997Z,00000000-0000-0000-0000-000000000030,0.002,0.056,0.058,2
2026-04-05T18:19:45.9768240Z,00000000-0000-0000-0000-000000000003,0.005,0.521,0.526,2
2026-04-05T18:19:45.9771430Z,00000000-0000-0000-0000-000000000030,0.002,0.060,0.062,3
2026-04-05T18:19:45.9982788Z,00000000-0000-0000-0000-000000000003,0.005,0.117,0.122,3
2026-04-05T18:19:46.0297392Z,00000000-0000-0000-0000-000000000030,0.007,0.139,0.146,4
2026-04-05T18:19:46.0610854Z,00000000-0000-0000-0000-000000000003,0.010,0.131,0.141,4
2026-04-05T18:19:46.0926923Z,00000000-0000-0000-0000-000000000030,0.005,0.107,0.113,4
2026-04-05T18:19:46.1235454Z,00000000-0000-0000-0000-000000000003,0.005,0.100,0.104,4
2026-04-05T18:19:46.1625819Z,00000000-0000-0000-0000-000000000030,4.150,3.356,7.506,3
2026-04-05T18:19:46.1861543Z,00000000-0000-0000-0000-000000000003,0.094,0.099,0.194,3
2026-04-05T18:19:46.2172786Z,00000000-0000-0000-0000-000000000030,0.019,0.108,0.127,3
2026-04-05T18:19:46.2477067Z,00000000-0000-0000-0000-000000000003,0.075,0.071,0.146,2
2026-04-05T18:19:46.2789165Z,00000000-0000-0000-0000-000000000030,0.005,0.073,0.078,3
2026-04-05T18:19:46.3093854Z,00000000-0000-0000-0000-000000000003,0.005,0.091,0.097,3
2026-04-05T18:19:46.3409534Z,00000000-0000-0000-0000-000000000030,0.039,0.068,0.107,3
2026-04-05T18:19:46.3722124Z,00000000-0000-0000-0000-000000000003,0.055,0.096,0.150,3
2026-04-05T18:19:46.4040921Z,00000000-0000-0000-0000-000000000030,0.005,0.072,0.077,3
2026-04-05T18:19:46.4356650Z,00000000-0000-0000-0000-000000000003,0.043,0.084,0.126,2
2026-04-05T18:19:46.4660788Z,00000000-0000-0000-0000-000000000030,0.005,0.094,0.099,3
2026-04-05T18:19:46.4975712Z,00000000-0000-0000-0000-000000000003,0.006,0.114,0.121,3
2026-04-05T18:19:46.5285927Z,00000000-0000-0000-0000-000000000030,0.012,0.081,0.093,4
2026-04-05T18:19:46.5598424Z,00000000-0000-0000-0000-000000000003,0.008,0.135,0.143,3
2026-04-05T18:19:46.5906445Z,00000000-0000-0000-0000-000000000030,0.013,0.127,0.141,4
2026-04-05T18:19:46.6221255Z,00000000-0000-0000-0000-000000000003,0.039,0.085,0.124,3
2026-04-05T18:19:46.6531574Z,00000000-0000-0000-0000-000000000030,0.005,0.091,0.096,4
2026-04-05T18:19:46.6847350Z,00000000-0000-0000-0000-000000000003,0.014,0.116,0.130,3
2026-04-05T18:19:46.7161050Z,00000000-0000-0000-0000-000000000030,0.044,0.074,0.118,3
2026-04-05T18:19:46.7479863Z,00000000-0000-0000-0000-000000000003,0.021,0.265,0.287,4
2026-04-05T18:19:46.7797122Z,00000000-0000-0000-0000-000000000030,0.073,0.073,0.146,2
2026-04-05T18:19:46.8100925Z,00000000-0000-0000-0000-000000000003,0.013,0.091,0.103,4
2026-04-05T18:19:46.8422083Z,00000000-0000-0000-0000-000000000030,0.078,1.048,1.126,2
2026-04-05T18:19:46.8732635Z,00000000-0000-0000-0000-000000000003,0.042,0.084,0.126,3
2026-04-05T18:19:46.8977645Z,00000000-0000-0000-0000-000000000003,0.007,0.115,0.122,4
2026-04-05T18:19:46.8980336Z,00000000-0000-0000-0000-000000000003,0.007,0.032,0.039,5
2026-04-05T18:19:46.8980999Z,00000000-0000-0000-0000-000000000003,0.009,0.035,0.044,6
2026-04-05T18:19:46.8981675Z,00000000-0000-0000-0000-000000000003,0.002,0.032,0.034,7
2026-04-05T18:19:46.8993409Z,00000000-0000-0000-0000-000000000003,0.005,0.067,0.072,7
2026-04-05T18:19:46.9000194Z,00000000-0000-0000-0000-000000000003,0.026,0.575,0.601,7
2026-04-05T18:19:46.9001180Z,00000000-0000-0000-0000-000000000003,0.018,0.024,0.043,8
2026-04-05T18:19:46.9001619Z,00000000-0000-0000-0000-000000000003,0.001,0.012,0.013,9
2026-04-05T18:19:46.9047539Z,00000000-0000-0000-0000-000000000003,0.001,4.568,4.568,10
2026-04-05T18:19:46.9049318Z,00000000-0000-0000-0000-000000000003,0.005,0.079,0.083,11
2026-04-05T18:19:46.9050374Z,00000000-0000-0000-0000-000000000003,0.001,0.026,0.027,12
2026-04-05T18:19:46.9051139Z,00000000-0000-0000-0000-000000000003,0.015,0.029,0.044,13
2026-04-05T18:19:46.9051835Z,00000000-0000-0000-0000-000000000003,0.006,0.029,0.035,14
2026-04-05T18:19:46.9054663Z,00000000-0000-0000-0000-000000000003,0.001,0.151,0.152,15
2026-04-05T18:19:46.9055393Z,00000000-0000-0000-0000-000000000003,0.002,0.026,0.028,16
