Timestamp,RadarId,AssociationMs,KalmanMs,TotalMs,ActiveTrackCount
2026-04-05T18:00:28.8178485Z,00000000-0000-0000-0000-000000000003,2.754,5.272,8.026,1
2026-04-05T18:00:28.8315235Z,00000000-0000-0000-0000-000000000030,0.020,0.705,0.725,1
2026-04-05T18:00:28.8320286Z,00000000-0000-0000-0000-000000000003,0.004,0.101,0.104,2
2026-04-05T18:00:28.8438105Z,00000000-0000-0000-0000-000000000030,4.928,5.483,10.412,1
2026-04-05T18:00:28.8448099Z,00000000-0000-0000-0000-000000000003,0.003,0.472,0.475,3
2026-04-05T18:00:28.8451116Z,00000000-0000-0000-0000-000000000030,0.002,0.058,0.060,2
2026-04-05T18:00:28.8532772Z,00000000-0000-0000-0000-000000000003,0.014,0.063,0.077,4
2026-04-05T18:00:28.8559943Z,00000000-0000-0000-0000-000000000030,0.055,0.102,0.157,2
2026-04-05T18:00:28.8567072Z,00000000-0000-0000-0000-000000000003,0.034,0.071,0.105,3
2026-04-05T18:00:28.8589072Z,00000000-0000-0000-0000-000000000030,0.024,1.196,1.220,2
2026-04-05T18:00:28.8682831Z,00000000-0000-0000-0000-000000000003,0.037,0.088,0.125,2
2026-04-05T18:00:28.8836166Z,00000000-0000-0000-0000-000000000030,0.006,0.154,0.161,2
2026-04-05T18:00:28.8996979Z,00000000-0000-0000-0000-000000000003,0.006,0.074,0.080,3
2026-04-05T18:00:28.9167293Z,00000000-0000-0000-0000-000000000030,0.015,0.101,0.115,3
2026-04-05T18:00:28.9312988Z,00000000-0000-0000-0000-000000000003,0.056,0.059,0.115,3
2026-04-05T18:00:28.9466201Z,00000000-0000-0000-0000-000000000030,0.060,0.081,0.141,3
2026-04-05T18:00:28.9615907Z,00000000-0000-0000-0000-000000000003,0.006,0.101,0.106,3
2026-04-05T18:00:28.9773533Z,00000000-0000-0000-0000-000000000030,0.114,0.141,0.256,3
2026-04-05T18:00:28.9927237Z,00000000-0000-0000-0000-000000000003,0.006,0.143,0.149,3
2026-04-05T18:00:29.0091119Z,00000000-0000-0000-0000-000000000030,0.005,0.069,0.074,4
2026-04-05T18:00:29.0244505Z,00000000-0000-0000-0000-000000000003,0.006,0.103,0.109,4
2026-04-05T18:00:29.0397657Z,00000000-0000-0000-0000-000000000030,0.054,0.093,0.148,4
2026-04-05T18:00:29.0545354Z,00000000-0000-0000-0000-000000000003,0.006,0.086,0.092,4
2026-04-05T18:00:29.0706102Z,00000000-0000-0000-0000-000000000030,0.047,0.073,0.120,3
2026-04-05T18:00:29.0861179Z,00000000-0000-0000-0000-000000000003,0.056,0.113,0.168,3
2026-04-05T18:00:29.1017434Z,00000000-0000-0000-0000-000000000030,0.006,0.095,0.102,4
2026-04-05T18:00:29.1176041Z,00000000-0000-0000-0000-000000000003,0.004,0.078,0.083,3
2026-04-05T18:00:29.1331606Z,00000000-0000-0000-0000-000000000030,0.005,0.089,0.094,3
2026-04-05T18:00:29.1485776Z,00000000-0000-0000-0000-000000000003,0.042,0.080,0.122,3
2026-04-05T18:00:29.1640566Z,00000000-0000-0000-0000-000000000030,0.015,0.091,0.105,4
2026-04-05T18:00:29.1799267Z,00000000-0000-0000-0000-000000000003,0.004,0.079,0.083,3
