Timestamp,FusionMs,FusedTrackCount
2026-04-05T18:17:32.3654886Z,1.940,0
2026-04-05T18:17:32.3704000Z,0.024,0
2026-04-05T18:17:32.3705773Z,0.013,0
2026-04-05T18:17:32.3715539Z,0.022,0
2026-04-05T18:17:32.3798053Z,8.123,0
2026-04-05T18:17:32.3910414Z,0.680,0
2026-04-05T18:17:32.3913891Z,0.031,0
2026-04-05T18:17:32.4244442Z,0.640,0
2026-04-05T18:17:32.4710472Z,0.778,0
2026-04-05T18:17:32.5175398Z,0.655,0
2026-04-05T18:17:32.5641261Z,0.036,0
2026-04-05T18:17:32.6109267Z,0.042,0
2026-04-05T18:17:32.6608477Z,0.571,0
2026-04-05T18:17:32.7104578Z,0.661,0
2026-04-05T18:17:32.7525428Z,0.050,0
2026-04-05T18:17:32.7988006Z,0.035,0
2026-04-05T18:17:32.8457988Z,0.096,0
2026-04-05T18:17:32.8932841Z,0.758,0
2026-04-05T18:17:32.9402099Z,0.039,0
2026-04-05T18:17:32.9870911Z,0.036,0
2026-04-05T18:17:33.0338513Z,0.039,0
2026-04-05T18:17:33.0808577Z,0.536,0
2026-04-05T18:17:33.1348687Z,6.995,1
2026-04-05T18:17:33.1754369Z,0.065,1
2026-04-05T18:17:33.2224494Z,0.034,1
2026-04-05T18:17:33.2686865Z,0.593,1
2026-04-05T18:17:33.3173588Z,0.721,1
2026-04-05T18:17:33.3264553Z,0.044,1
2026-04-05T18:17:33.3265950Z,0.011,1
2026-04-05T18:17:33.3266714Z,0.010,1
2026-04-05T18:17:33.3267655Z,0.009,1
2026-04-05T18:17:33.3280341Z,0.020,1
2026-04-05T18:17:33.3286178Z,0.025,1
2026-04-05T18:17:33.3286799Z,0.007,1
2026-04-05T18:17:33.3287277Z,0.013,1
2026-04-05T18:17:33.3332523Z,0.019,1
2026-04-05T18:17:33.3333188Z,0.008,1
2026-04-05T18:17:33.3334037Z,0.010,1
2026-04-05T18:17:33.3334659Z,0.006,1
2026-04-05T18:17:33.3337580Z,0.011,1
