Timestamp,Gen0Collections,Gen1Collections,Gen2Collections,SuspectedPauseMs
2026-04-05T18:00:28.7281287Z,0,0,0,5.52
2026-04-05T18:00:28.7589188Z,0,0,0,9.40
2026-04-05T18:00:28.7897867Z,0,0,0,5.66
2026-04-05T18:00:28.8052026Z,0,0,0,5.22
2026-04-05T18:00:28.8205479Z,0,0,0,5.15
2026-04-05T18:00:28.8363987Z,0,0,0,5.60
2026-04-05T18:00:28.8517133Z,0,0,0,5.15
2026-04-05T18:00:28.8674766Z,0,0,0,5.49
2026-04-05T18:00:28.8831059Z,0,0,0,5.46
2026-04-05T18:00:28.8987225Z,0,0,0,5.41
2026-04-05T18:00:28.9144055Z,0,0,0,5.51
2026-04-05T18:00:28.9303695Z,0,0,0,5.76
2026-04-05T18:00:28.9456895Z,0,0,0,5.12
2026-04-05T18:00:28.9916898Z,0,0,0,5.54
2026-04-05T18:00:29.0083149Z,0,0,0,6.47
2026-04-05T18:00:29.0236369Z,0,0,0,5.20
2026-04-05T18:00:29.0538473Z,0,0,0,5.11
2026-04-05T18:00:29.0698914Z,0,0,0,5.92
2026-04-05T18:00:29.0852920Z,0,0,0,5.24
2026-04-05T18:00:29.1010234Z,0,0,0,5.58
2026-04-05T18:00:29.1167795Z,0,0,0,5.47
2026-04-05T18:00:29.1323595Z,0,0,0,5.46
2026-04-05T18:00:29.1480282Z,0,0,0,5.54
2026-04-05T18:00:29.1632928Z,0,0,0,5.09
2026-04-05T18:00:29.1792340Z,0,0,0,5.76
2026-04-05T18:00:29.1948004Z,0,0,0,5.40
2026-04-05T18:00:29.2106013Z,0,0,0,5.65
2026-04-05T18:00:29.2265170Z,0,0,0,5.79
2026-04-05T18:00:29.2428428Z,0,0,0,6.19
2026-04-05T18:00:29.2737805Z,0,0,0,5.68
2026-04-05T18:00:29.2892442Z,0,0,0,5.28
2026-04-05T18:00:29.3050315Z,0,0,0,5.62
2026-04-05T18:00:29.3203120Z,0,0,0,5.15
2026-04-05T18:00:29.3360446Z,0,0,0,5.60
2026-04-05T18:00:29.3517982Z,0,0,0,5.52
2026-04-05T18:00:29.3670111Z,0,0,0,5.09
2026-04-05T18:00:29.3977085Z,0,0,0,5.71
2026-04-05T18:00:29.4131540Z,0,0,0,5.28
2026-04-05T18:00:29.4284382Z,0,0,0,5.01
2026-04-05T18:00:29.4437528Z,0,0,0,5.12
2026-04-05T18:00:29.4602169Z,0,0,0,6.31
2026-04-05T18:00:29.4909976Z,0,0,0,6.00
2026-04-05T18:00:29.5222394Z,0,0,0,6.06
2026-04-05T18:00:29.5528681Z,0,0,0,5.56
2026-04-05T18:00:29.5680635Z,0,0,0,5.05
2026-04-05T18:00:29.5834826Z,0,0,0,5.28
2026-04-05T18:00:29.5991929Z,0,0,0,5.56
2026-04-05T18:00:29.6152405Z,0,0,0,5.90
2026-04-05T18:00:29.6304878Z,0,0,0,5.10
2026-04-05T18:00:29.6458496Z,0,0,0,5.21
2026-04-05T18:00:29.6618791Z,0,0,0,5.89
2026-04-05T18:00:29.6776819Z,0,0,0,5.42
2026-04-05T18:00:29.6934169Z,0,0,0,5.57
2026-04-05T18:00:29.7096457Z,0,0,0,6.06
2026-04-05T18:00:29.7257105Z,0,0,0,5.89
2026-04-05T18:00:29.7414187Z,0,0,0,5.36
2026-04-05T18:00:29.7573741Z,0,0,0,5.80
2026-04-05T18:00:29.7877532Z,0,0,0,5.10
2026-04-05T18:00:29.8037532Z,0,0,0,5.86
2026-04-05T18:00:29.8195429Z,0,0,0,5.64
2026-04-05T18:00:29.8351552Z,0,0,0,5.38
2026-04-05T18:00:29.8509138Z,0,0,0,5.61
2026-04-05T18:00:29.8666081Z,0,0,0,5.55
2026-04-05T18:00:29.8825356Z,0,0,0,5.81
2026-04-05T18:00:29.8985036Z,0,0,0,5.84
2026-04-05T18:00:29.9138142Z,0,0,0,5.12
2026-04-05T18:00:29.9289633Z,0,0,0,5.01
2026-04-05T18:00:29.9596534Z,0,0,0,5.62
2026-04-05T18:00:29.9898285Z,0,0,0,5.04
2026-04-05T18:00:30.0059297Z,0,0,0,6.00
2026-04-05T18:00:30.0219906Z,0,0,0,5.89
2026-04-05T18:00:30.0376597Z,0,0,0,5.54
2026-04-05T18:00:30.0679993Z,0,0,0,5.43
2026-04-05T18:00:30.0839465Z,0,0,0,5.81
2026-04-05T18:00:30.0993717Z,0,0,0,5.29
2026-04-05T18:00:30.1154774Z,0,0,0,5.97
2026-04-05T18:00:30.1310171Z,0,0,0,5.24
2026-04-05T18:00:30.1467900Z,0,0,0,5.65
2026-04-05T18:00:30.1622464Z,0,0,0,5.28
2026-04-05T18:00:30.1779583Z,0,0,0,5.41
2026-04-05T18:00:30.1930987Z,0,0,0,5.03
2026-04-05T18:00:30.2088749Z,0,0,0,5.49
2026-04-05T18:00:30.2245526Z,0,0,0,5.45
2026-04-05T18:00:30.2546943Z,0,0,0,5.39
2026-04-05T18:00:30.2700313Z,0,0,0,5.21
2026-04-05T18:00:30.2855555Z,0,0,0,5.41
2026-04-05T18:00:30.3162269Z,0,0,0,5.53
2026-04-05T18:00:30.3323124Z,0,0,0,5.92
2026-04-05T18:00:30.3482756Z,0,0,0,5.84
2026-04-05T18:00:30.3638929Z,0,0,0,5.50
2026-04-05T18:00:30.3791745Z,0,0,0,5.16
2026-04-05T18:00:30.3948737Z,0,0,0,5.59
2026-04-05T18:00:30.4101993Z,0,0,0,5.21
2026-04-05T18:00:30.4255804Z,0,0,0,5.11
2026-04-05T18:00:30.4416146Z,0,0,0,5.81
2026-04-05T18:00:30.4725388Z,0,0,0,5.73
2026-04-05T18:00:30.4884004Z,0,0,0,5.74
2026-04-05T18:00:30.5037452Z,0,0,0,5.24
2026-04-05T18:00:30.5189852Z,0,0,0,5.03
2026-04-05T18:00:30.5349940Z,0,0,0,5.79
2026-04-05T18:00:30.5502392Z,0,0,0,5.12
2026-04-05T18:00:30.5658000Z,0,0,0,5.46
2026-04-05T18:00:30.5812959Z,0,0,0,5.39
2026-04-05T18:00:30.5967067Z,0,0,0,5.27
2026-04-05T18:00:30.6126659Z,0,0,0,5.86
2026-04-05T18:00:30.6286712Z,0,0,0,5.91
2026-04-05T18:00:30.6438955Z,0,0,0,5.12
2026-04-05T18:00:30.6600340Z,0,0,0,6.05
2026-04-05T18:00:30.6754664Z,0,0,0,5.32
2026-04-05T18:00:30.6917293Z,0,0,0,6.14
2026-04-05T18:00:30.7074867Z,0,0,0,5.50
2026-04-05T18:00:30.7378120Z,0,0,0,5.23
2026-04-05T18:00:30.7534376Z,0,0,0,5.52
2026-04-05T18:00:30.7695218Z,0,0,0,5.98
2026-04-05T18:00:30.7850843Z,0,0,0,5.45
2026-04-05T18:00:30.8158143Z,0,0,0,5.62
2026-04-05T18:00:30.8474997Z,0,0,0,6.11
2026-04-05T18:00:30.8636073Z,0,0,0,6.01
2026-04-05T18:00:30.8941024Z,0,0,0,5.43
2026-04-05T18:00:30.9105013Z,0,0,0,6.16
2026-04-05T18:00:30.9258820Z,0,0,0,5.27
2026-04-05T18:00:30.9410786Z,0,0,0,5.08
2026-04-05T18:00:30.9571120Z,0,0,0,5.90
2026-04-05T18:00:30.9723308Z,0,0,0,5.09
2026-04-05T18:00:30.9879325Z,0,0,0,5.49
2026-04-05T18:00:31.0030966Z,0,0,0,5.05
2026-04-05T18:00:31.0193052Z,0,0,0,6.11
2026-04-05T18:00:31.0345037Z,0,0,0,5.11
2026-04-05T18:00:31.0500281Z,0,0,0,5.44
2026-04-05T18:00:31.0653146Z,0,0,0,5.12
2026-04-05T18:00:31.0806151Z,0,0,0,5.21
2026-04-05T18:00:31.0960316Z,0,0,0,5.30
2026-04-05T18:00:31.1120322Z,0,0,0,5.90
2026-04-05T18:00:31.1271710Z,0,0,0,5.01
2026-04-05T18:00:31.1429557Z,0,0,0,5.67
2026-04-05T18:00:31.1587727Z,0,0,0,5.68
2026-04-05T18:00:31.1748250Z,0,0,0,5.92
2026-04-05T18:00:31.1905500Z,0,0,0,5.40
2026-04-05T18:00:31.2062617Z,0,0,0,5.45
2026-04-05T18:00:31.2217434Z,0,0,0,5.17
2026-04-05T18:00:31.2378163Z,0,0,0,5.91
2026-04-05T18:00:31.2683699Z,0,0,0,5.35
2026-04-05T18:00:31.2840506Z,0,0,0,5.51
2026-04-05T18:00:31.3001269Z,0,0,0,5.89
2026-04-05T18:00:31.3155719Z,0,0,0,5.31
2026-04-05T18:00:31.3314855Z,0,0,0,5.76
2026-04-05T18:00:31.3471139Z,0,0,0,5.53
2026-04-05T18:00:31.3629117Z,0,0,0,5.69
2026-04-05T18:00:31.3793949Z,0,0,0,6.39
2026-04-05T18:00:31.3947934Z,0,0,0,5.28
2026-04-05T18:00:31.4104264Z,0,0,0,5.43
2026-04-05T18:00:31.4260639Z,0,0,0,5.53
2026-04-05T18:00:31.4416521Z,0,0,0,5.44
2026-04-05T18:00:31.4570477Z,0,0,0,5.12
2026-04-05T18:00:31.4728088Z,0,0,0,5.55
2026-04-05T18:00:31.4887133Z,0,0,0,5.57
2026-04-05T18:00:31.5051017Z,0,0,0,6.29
2026-04-05T18:00:31.5358608Z,0,0,0,5.92
2026-04-05T18:00:31.5516659Z,0,0,0,5.64
2026-04-05T18:00:31.5670852Z,0,0,0,5.32
2026-04-05T18:00:31.5826981Z,0,0,0,5.53
2026-04-05T18:00:31.5988566Z,0,0,0,6.06
2026-04-05T18:00:31.6573123Z,0,0,0,48.35
2026-04-05T18:00:31.6880140Z,0,0,0,20.61
2026-04-05T18:00:31.7154431Z,0,0,0,17.23
2026-04-05T18:00:31.7405144Z,0,0,0,14.97
2026-04-05T18:00:31.7563698Z,0,0,0,5.61
2026-04-05T18:00:31.7717494Z,0,0,0,5.30
2026-04-05T18:00:31.7875141Z,0,0,0,5.65
2026-04-05T18:00:31.8031221Z,0,0,0,5.52
2026-04-05T18:00:31.8182875Z,0,0,0,5.09
2026-04-05T18:00:31.8343819Z,0,0,0,6.00
2026-04-05T18:00:31.8639076Z,0,0,0,5.07
2026-04-05T18:00:31.8795385Z,0,0,0,5.54
2026-04-05T18:00:31.8952817Z,0,0,0,5.66
2026-04-05T18:00:31.9112741Z,0,0,0,5.91
2026-04-05T18:00:31.9265276Z,0,0,0,5.17
2026-04-05T18:00:31.9421957Z,0,0,0,5.49
2026-04-05T18:00:31.9577658Z,0,0,0,5.42
2026-04-05T18:00:31.9731628Z,0,0,0,5.17
2026-04-05T18:00:32.0038787Z,0,0,0,5.34
2026-04-05T18:00:32.0197616Z,0,0,0,5.73
2026-04-05T18:00:32.0349372Z,0,0,0,5.02
2026-04-05T18:00:32.0508531Z,0,0,0,5.78
2026-04-05T18:00:32.0661653Z,0,0,0,5.13
2026-04-05T18:00:32.0814176Z,0,0,0,5.10
2026-04-05T18:00:32.0966936Z,0,0,0,5.16
2026-04-05T18:00:32.1129727Z,0,0,0,6.17
2026-04-05T18:00:32.1289537Z,0,0,0,5.88
2026-04-05T18:00:32.1448718Z,0,0,0,5.81
2026-04-05T18:00:32.1605258Z,0,0,0,5.46
2026-04-05T18:00:32.1763190Z,0,0,0,5.69
2026-04-05T18:00:32.1919581Z,0,0,0,5.54
2026-04-05T18:00:32.2229687Z,0,0,0,5.48
2026-04-05T18:00:32.2527376Z,0,0,0,5.18
2026-04-05T18:00:32.2682536Z,0,0,0,5.37
2026-04-05T18:00:32.2844072Z,0,0,0,6.05
2026-04-05T18:00:32.3141454Z,0,0,0,5.02
2026-04-05T18:00:32.3296280Z,0,0,0,5.19
2026-04-05T18:00:32.3453124Z,0,0,0,5.49
2026-04-05T18:00:32.3616802Z,0,0,0,6.19
2026-04-05T18:00:32.3918776Z,0,0,0,5.42
2026-04-05T18:00:32.4075119Z,0,0,0,5.47
2026-04-05T18:00:32.4234647Z,0,0,0,5.82
2026-04-05T18:00:32.4539309Z,0,0,0,5.80
2026-04-05T18:00:32.4700300Z,0,0,0,5.96
2026-04-05T18:00:32.4854103Z,0,0,0,5.29
2026-04-05T18:00:32.5006814Z,0,0,0,5.18
2026-04-05T18:00:32.5167243Z,0,0,0,5.91
2026-04-05T18:00:32.5322848Z,0,0,0,5.41
2026-04-05T18:00:32.5478425Z,0,0,0,5.41
2026-04-05T18:00:32.5633589Z,0,0,0,5.35
2026-04-05T18:00:32.5796157Z,0,0,0,6.11
2026-04-05T18:00:32.5950980Z,0,0,0,5.33
2026-04-05T18:00:32.6111690Z,0,0,0,5.87
2026-04-05T18:00:32.6417276Z,0,0,0,5.30
2026-04-05T18:00:32.6574373Z,0,0,0,5.60
2026-04-05T18:00:32.6875629Z,0,0,0,5.28
2026-04-05T18:00:32.7035311Z,0,0,0,5.86
2026-04-05T18:00:32.7193872Z,0,0,0,5.71
2026-04-05T18:00:32.7502352Z,0,0,0,5.71
2026-04-05T18:00:32.7659991Z,0,0,0,5.62
2026-04-05T18:00:32.7961060Z,0,0,0,5.09
2026-04-05T18:00:32.8122768Z,0,0,0,5.89
2026-04-05T18:00:32.8278210Z,0,0,0,5.38
2026-04-05T18:00:32.8435585Z,0,0,0,5.57
2026-04-05T18:00:32.8591485Z,0,0,0,5.20
2026-04-05T18:00:32.8743431Z,0,0,0,5.04
2026-04-05T18:00:32.9050760Z,0,0,0,5.83
2026-04-05T18:00:32.9213068Z,0,0,0,6.06
2026-04-05T18:00:32.9517806Z,0,0,0,5.32
2026-04-05T18:00:32.9675061Z,0,0,0,5.56
2026-04-05T18:00:32.9834244Z,0,0,0,5.76
2026-04-05T18:00:32.9988937Z,0,0,0,5.37
2026-04-05T18:00:33.0145045Z,0,0,0,5.51
2026-04-05T18:00:33.0301390Z,0,0,0,5.53
2026-04-05T18:00:33.0457115Z,0,0,0,5.45
2026-04-05T18:00:33.0611283Z,0,0,0,5.28
2026-04-05T18:00:33.0765700Z,0,0,0,5.23
2026-04-05T18:00:33.0926123Z,0,0,0,5.94
2026-04-05T18:00:33.1084397Z,0,0,0,5.73
2026-04-05T18:00:33.1239236Z,0,0,0,5.37
2026-04-05T18:00:33.1394307Z,0,0,0,5.34
2026-04-05T18:00:33.1549681Z,0,0,0,5.43
2026-04-05T18:00:33.1706536Z,0,0,0,5.51
2026-04-05T18:00:33.1859512Z,0,0,0,5.10
2026-04-05T18:00:33.2262414Z,0,0,0,5.10
2026-04-05T18:00:33.2422958Z,0,0,0,5.93
2026-04-05T18:00:33.2585224Z,0,0,0,6.04
2026-04-05T18:00:33.2740009Z,0,0,0,5.23
2026-04-05T18:00:33.2893437Z,0,0,0,5.18
2026-04-05T18:00:33.3205315Z,0,0,0,6.31
2026-04-05T18:00:33.3359590Z,0,0,0,5.18
2026-04-05T18:00:33.3520676Z,0,0,0,5.91
2026-04-05T18:00:33.3681226Z,0,0,0,5.90
2026-04-05T18:00:33.3836391Z,0,0,0,5.27
2026-04-05T18:00:33.4245194Z,0,0,0,15.79
2026-04-05T18:00:33.4516840Z,0,0,0,5.37
2026-04-05T18:00:33.4827213Z,0,0,0,5.96
2026-04-05T18:00:33.4984070Z,0,0,0,5.59
2026-04-05T18:00:33.5136477Z,0,0,0,5.13
2026-04-05T18:00:33.5293962Z,0,0,0,5.64
2026-04-05T18:00:33.5450184Z,0,0,0,5.51
2026-04-05T18:00:33.5759651Z,0,0,0,5.55
2026-04-05T18:00:33.5913814Z,0,0,0,5.25
2026-04-05T18:00:33.6071301Z,0,0,0,5.65
2026-04-05T18:00:33.6233806Z,0,0,0,6.12
2026-04-05T18:00:33.6542414Z,0,0,0,5.80
2026-04-05T18:00:33.6699989Z,0,0,0,5.66
2026-04-05T18:00:33.6852994Z,0,0,0,5.20
2026-04-05T18:00:33.7013454Z,0,0,0,5.92
2026-04-05T18:00:33.7166164Z,0,0,0,5.16
2026-04-05T18:00:33.7324691Z,0,0,0,5.75
2026-04-05T18:00:33.7480569Z,0,0,0,5.48
2026-04-05T18:00:33.7637575Z,0,0,0,5.58
2026-04-05T18:00:33.7797834Z,0,0,0,5.91
2026-04-05T18:00:33.7950098Z,0,0,0,5.11
2026-04-05T18:00:33.8102653Z,0,0,0,5.13
2026-04-05T18:00:33.8256481Z,0,0,0,5.28
2026-04-05T18:00:33.8411455Z,0,0,0,5.40
2026-04-05T18:00:33.8574404Z,0,0,0,6.17
2026-04-05T18:00:33.8727117Z,0,0,0,5.13
2026-04-05T18:00:33.8883004Z,0,0,0,5.49
2026-04-05T18:00:33.9042108Z,0,0,0,5.80
2026-04-05T18:00:33.9194753Z,0,0,0,5.16
2026-04-05T18:00:33.9348053Z,0,0,0,5.22
2026-04-05T18:00:33.9503444Z,0,0,0,5.43
2026-04-05T18:00:33.9658453Z,0,0,0,5.40
2026-04-05T18:00:33.9816940Z,0,0,0,5.75
2026-04-05T18:00:33.9972667Z,0,0,0,5.42
2026-04-05T18:00:34.0132160Z,0,0,0,5.84
2026-04-05T18:00:34.0435876Z,0,0,0,5.31
2026-04-05T18:00:34.0592709Z,0,0,0,5.58
2026-04-05T18:00:34.0748515Z,0,0,0,5.48
2026-04-05T18:00:34.0904334Z,0,0,0,5.43
2026-04-05T18:00:34.1059166Z,0,0,0,5.31
2026-04-05T18:00:34.1215295Z,0,0,0,5.51
2026-04-05T18:00:34.1376971Z,0,0,0,6.07
2026-04-05T18:00:34.1528402Z,0,0,0,5.03
2026-04-05T18:00:34.1681340Z,0,0,0,5.16
2026-04-05T18:00:34.1835322Z,0,0,0,5.29
2026-04-05T18:00:34.1993505Z,0,0,0,5.72
2026-04-05T18:00:34.2153999Z,0,0,0,5.94
2026-04-05T18:00:34.2313318Z,0,0,0,5.80
2026-04-05T18:00:34.2473564Z,0,0,0,5.91
2026-04-05T18:00:34.2634099Z,0,0,0,5.85
2026-04-05T18:00:34.2794245Z,0,0,0,5.90
2026-04-05T18:00:34.2945945Z,0,0,0,5.07
2026-04-05T18:00:34.3100657Z,0,0,0,5.36
2026-04-05T18:00:34.3259571Z,0,0,0,5.79
2026-04-05T18:00:34.3411822Z,0,0,0,5.11
2026-04-05T18:00:34.3568878Z,0,0,0,5.61
2026-04-05T18:00:34.3724391Z,0,0,0,5.43
2026-04-05T18:00:34.3877037Z,0,0,0,5.13
2026-04-05T18:00:34.4037998Z,0,0,0,5.99
2026-04-05T18:00:34.4198112Z,0,0,0,5.87
2026-04-05T18:00:34.4351315Z,0,0,0,5.23
2026-04-05T18:00:34.4507423Z,0,0,0,5.53
2026-04-05T18:00:34.4665893Z,0,0,0,5.74
2026-04-05T18:00:34.4820262Z,0,0,0,5.36
2026-04-05T18:00:34.4975963Z,0,0,0,5.49
2026-04-05T18:00:34.5137164Z,0,0,0,6.03
2026-04-05T18:00:34.5291908Z,0,0,0,5.37
2026-04-05T18:00:34.5446738Z,0,0,0,5.38
2026-04-05T18:00:34.5759410Z,0,0,0,6.21
2026-04-05T18:00:34.5915663Z,0,0,0,5.52
2026-04-05T18:00:34.6071272Z,0,0,0,5.45
2026-04-05T18:00:34.6383808Z,0,0,0,6.05
2026-04-05T18:00:34.6542561Z,0,0,0,5.71
2026-04-05T18:00:34.6698916Z,0,0,0,5.50
2026-04-05T18:00:34.6854849Z,0,0,0,5.49
2026-04-05T18:00:34.7010517Z,0,0,0,5.30
2026-04-05T18:00:34.7163613Z,0,0,0,5.21
2026-04-05T18:00:34.7322527Z,0,0,0,5.79
2026-04-05T18:00:34.7477278Z,0,0,0,5.38
2026-04-05T18:00:34.7631820Z,0,0,0,5.36
2026-04-05T18:00:34.8090712Z,0,0,0,5.99
2026-04-05T18:00:34.8244869Z,0,0,0,5.31
2026-04-05T18:00:34.8404306Z,0,0,0,5.84
2026-04-05T18:00:34.8561035Z,0,0,0,5.49
2026-04-05T18:00:34.8713562Z,0,0,0,5.08
2026-04-05T18:00:34.8872281Z,0,0,0,5.78
2026-04-05T18:00:34.9025744Z,0,0,0,5.25
2026-04-05T18:00:34.9187278Z,0,0,0,6.02
2026-04-05T18:00:34.9503035Z,0,0,0,5.64
2026-04-05T18:00:34.9661800Z,0,0,0,5.78
2026-04-05T18:00:34.9817357Z,0,0,0,5.46
2026-04-05T18:00:34.9977524Z,0,0,0,5.93
2026-04-05T18:00:35.0137645Z,0,0,0,5.94
2026-04-05T18:00:35.0290577Z,0,0,0,5.22
2026-04-05T18:00:35.0442701Z,0,0,0,5.12
2026-04-05T18:00:35.0603157Z,0,0,0,5.98
2026-04-05T18:00:35.0755002Z,0,0,0,5.11
2026-04-05T18:00:35.0912305Z,0,0,0,5.61
2026-04-05T18:00:35.1065012Z,0,0,0,5.14
2026-04-05T18:00:35.1222535Z,0,0,0,5.61
2026-04-05T18:00:35.1527430Z,0,0,0,5.37
2026-04-05T18:00:35.1680331Z,0,0,0,5.21
2026-04-05T18:00:35.1834806Z,0,0,0,5.33
2026-04-05T18:00:35.1988100Z,0,0,0,5.23
2026-04-05T18:00:35.2140789Z,0,0,0,5.16
2026-04-05T18:00:35.2298084Z,0,0,0,5.61
2026-04-05T18:00:35.2453937Z,0,0,0,5.47
2026-04-05T18:00:35.2609533Z,0,0,0,5.45
2026-04-05T18:00:35.2763873Z,0,0,0,5.28
2026-04-05T18:00:35.2923558Z,0,0,0,5.86
2026-04-05T18:00:35.3078946Z,0,0,0,5.43
2026-04-05T18:00:35.3232823Z,0,0,0,5.28
2026-04-05T18:00:35.3398342Z,0,0,0,6.45
2026-04-05T18:00:35.3553489Z,0,0,0,5.34
2026-04-05T18:00:35.3712151Z,0,0,0,5.76
